stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,105.42,1581.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0
  5-6,183.89,2549.93,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,42.91,6.13,0,0,6.13,0,61.3,0,0,0,0,0,0,0,0,0
  7-9,39.43,63.09,81.49,0,0,0,168.24,0,0,0,0,86.75,0,0,0,0,0,0,0,0,0,0,0,1603.52,39.43,0,0,531,0,5.26,7.89,0,2.63,0,0,0,0,0,0
 10-12,0,37.76,53.5,0,0,0,138.47,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,824.51,18.88,0,0,405.96,0,6.29,0,0,40.91,0,0,0,0,0,0
 14-21,0,0,2,17,2,0,0,0,0,2,2,0,0,0,3,0,0,0,0,5,0,0,2,39,1,1,1,0,0,3,0,11,1,1,11,11,0,0,0
 24-34,0,0,1.64,4.93,0,0,8.21,0,0.82,0.82,0.82,0,1.64,0.82,0.82,0,0,0.82,0.82,4.1,0,0,4.1,51.71,0,3.28,5.75,0,0,12.31,0,0,0.82,0,2.46,10.67,0,1.64,0
 36-46,0,0,0,3.22,0.81,0,6.45,0,0.81,0,2.42,0,0,0,0,0,0.81,0.81,0,2.42,0,0,0,24.98,0,0.81,2.42,0,0,3.22,0,0,0,0,0,3.22,0,0.81,0.81
 48-58,0,0,0.57,8.03,0,0,8.03,0.57,0.57,0.57,1.15,0,0,0,0.57,0.57,0.57,0.57,0,3.44,0,0,0.57,12.62,0,1.72,1.72,0,0,2.3,0,0,0,0,0,1.72,0,0.57,0
 60-70,0,0,0,2.94,0,0,10.8,0,0.98,1.96,1.96,0,0,0,0,0,0.98,0,0,4.91,0,0,0,13.74,0,0,0,0,0,4.91,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,4.91,0,0,10.8,0,0,1.96,0,0,0,0,2.94,0,0,0,0,3.93,0,1.96,0,17.67,0,1.96,0,0,0,4.91,0,0,0,0,0,2.94,0.98,0,0
 84-94,0,0,0,4.25,0,0,6.37,0,2.12,1.06,2.12,0,0,0,3.19,0,1.06,0,0,4.25,1.06,0,1.06,7.43,0,2.12,1.06,0,1.06,13.81,0,0,1.06,0,0,2.12,0,1.06,0
 96-106,0,0,0,4.37,3.28,0,1.09,0,2.19,1.09,3.28,0,0,0,2.19,0,1.09,0,0,2.19,2.19,0,0,0,0,1.09,0,0,0,6.56,0,0,0,0,0,0,0,0,0
108-118,0,0,0,8.43,0,0.77,3.06,0,0.77,3.06,0.77,0,0,0.77,0,0,0,0,0,0,0,0,1.53,5.36,0,1.53,0.77,0,0,3.83,0,0,0.77,0,0,1.53,0,0.77,0
120,0,0,0,11.76,0,0,3.92,0,9.8,3.92,3.92,0,0,0,0,0,1.96,0,0,0,0,0,1.96,13.72,0,0,1.96,0,0,21.56,0,0,0,0,0,0,0,0,0
