stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,70,1,11,0,1,0,0,0,0,61,0,0,0,0,0,0,4,0,0,1,19,0,0,0,1,0,1,66,0,2,9,0,0,0,0,0
 24-34,0,0.82,45.15,0.82,2.46,0,4.93,0,0,0,1.64,28.73,0,0,0,0.82,6.57,0,2.46,0,0,1.64,36.12,0.82,0.82,0,0,0.82,0,56.64,0.82,0,7.39,0,0,0,0,0
 36-46,0,0,5.64,0,0,0,8.06,0,0,0,1.61,29,0,0,0,0.81,8.86,0.81,0.81,0.81,0,0,45.92,0,0.81,0,0,1.61,0,33.84,0,0,5.64,0,0,0.81,0,0
 48-58,0,0,0.57,0,0,0,10.9,0.57,0,0.57,2.3,49.92,0.57,0,0,0,6.31,0.57,2.87,0.57,0.57,0.57,36.15,0,0,0,0,0.57,0,22.38,0,0,5.16,0,0,0,0,1.15
 60-70,0,0,0,0.98,0.98,1.96,16.69,0,0,0,2.94,73.61,0,0.98,0,0,7.85,0,4.91,0,0.98,1.96,52.02,0,0,0,0,0.98,0,30.43,0,0,3.93,0,1.96,1.96,0,0.98
 72-82,0,5.89,0.98,0,0.98,20.61,17.67,0,0,0.98,0.98,192.41,0,0.98,1.96,0,5.89,0,10.8,0,0,0,48.1,0.98,0,0,0,0,0,37.3,0.98,0,2.94,0,0,0.98,0.98,0
 84-94,0,2.12,7.43,1.06,2.12,69.03,8.5,0,0,0,1.06,302.68,0,0,1.06,0,8.5,0,9.56,0,0,0,43.54,0,1.06,1.06,0,1.06,0,76.47,0,0,2.12,0,0,0,0,0
 96-106,0,3.28,10.93,4.37,4.37,40.44,15.3,1.09,0,0,2.19,436.05,0,2.19,1.09,1.09,5.46,0,4.37,2.19,0,0,68.85,0,0,0,0,7.65,0,69.94,1.09,0,0,1.09,0,1.09,1.09,0
108-118,0,1.53,10.72,3.83,0.77,63.57,9.19,0,0.77,0,2.3,403.66,0,0,0.77,0,11.49,0,2.3,0,0.77,0.77,63.57,0,1.53,0.77,0,5.36,0,61.28,0,0,0,0.77,0,1.53,0.77,0.77
120,0,0,1.96,7.84,0,21.56,3.92,1.96,0,0,3.92,243.01,0,0,0,0,7.84,0,3.92,0,0,0,54.87,0,1.96,0,0,3.92,0,37.24,0,0,1.96,0,0,0,0,0
