stage,axial,blastomeres,epidermis,erythrocytes,fast_muscle,fin_epithelia,gut,heart,immune,mesenchyme,neural,periderm,slow_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.15,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,1.96,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,1.53,0,0.77
120,0,0,1.96,1.96,1.96,0,0,0,0,0,3.92,0,0
