stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1,1,3,0,0,1,6,0,0,0
 24-34,0,0,0,0,0.82,0,4.93,0,0,0,0,0,0,0,0,0,0,2.46,2.46,35.3,0,0,0,0.82,0,0,0,0,6.57,0,0.82,0
 36-46,0,0,0,0,0.81,0,5.64,0,0,0,2.42,0,0,0,0,0,0,1.61,0.81,42.7,0,1.61,0,0,0,0,0,0,12.09,0,0.81,0
 48-58,0,0,0,0,0.57,0,3.44,0.57,0.57,0,5.16,0.57,0,0,0.57,0.57,0.57,2.87,0.57,28.69,0.57,0.57,1.72,1.15,0,0.57,0,0,6.31,0,0,0
 60-70,0,0,0,0,0,0,7.85,0,0,0.98,1.96,0,0,0,0.98,0,0,0.98,0,19.63,0,0,0.98,0.98,0,0,0,0,3.93,0,0.98,0
 72-82,0,0,0,0,0,0,18.65,0,0,0,4.91,0,0,0,0,0,0,3.93,0.98,24.54,0,3.93,0.98,0.98,0,0,0,0,5.89,0.98,0,0.98
 84-94,0,0,0,0,0,0,3.19,0,0,0,3.19,0,0,0,0,1.06,0,7.43,1.06,7.43,0,0,1.06,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,1.09,1.09,9.84,0,0,0,4.37,0,0,0,0,1.09,0,6.56,1.09,7.65,0,1.09,0,2.19,0,0,1.09,0,3.28,0,1.09,0
108-118,0,0,0.77,0,2.3,0,6.89,0,0,0.77,3.83,0,1.53,0.77,1.53,0,0,4.6,0,23.74,0,0.77,1.53,2.3,0,0,0.77,0,0,0,0.77,0
120,1.96,0,0,0,0,0,7.84,0,0,0,1.96,0,1.96,0,0,1.96,0,3.92,0,7.84,0,0,0,1.96,0,0,0,0,0,0,0,0
