stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,ionocyte,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,5.26,0,0,7.89,0,0,36.8,5.26,0,0,15.77,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,12.59,0,0,0,15.73,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0
 24-34,0,0,0.82,0,0,0,0,0,0,0.82,2.46,0,0,0,0,2.46,0,0.82,0,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0.81,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,0,0,0,1.72,0,0,0,0,1.72,0,1.15,0.57,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,0.98,0,0,0,0.98,1.96,0,0.98,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,2.19,0,0,0,0,1.09,0,0,0,0,2.19,0,0,0,1.09
108-118,0,0,0.77,0.77,0,0,0.77,0,0,0,0.77,0,0,0.77,0,0.77,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,5.88,0,0,0,0
