stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,10.51,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,9.44,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,2,9,9,0,2,0,0,2,4,3,1,0,0,0,1,0,32,0,12,29,0,0,2,1,0,0,1,1,0,21,0,0,0,1
 24-34,0,0,0,1.64,2.46,0.82,0,6.57,0,0,4.1,0.82,9.85,0,0,0,0,0,0,59.1,0,15.6,40.22,0.82,0,6.57,0,0,0,0,1.64,0.82,12.31,0,8.21,0,1.64
 36-46,0,0,0,0,0.81,1.61,0,4.83,0,0,5.64,0,10.47,18.53,0,1.61,0,0.81,0,92.65,6.45,13.7,32.23,0,0,4.03,0,0,0.81,0,1.61,0,12.09,1.61,8.06,0,1.61
 48-58,0,0,0,0,1.15,0,0,7.46,0.57,2.3,13.77,0,6.31,11.48,0,0,0.57,0,0.57,138.29,11.48,9.75,22.95,0,0,8.61,0,0.57,0,0,0.57,0,10.33,1.15,8.61,0,3.44
 60-70,0,0,0,0,0,0,0,6.87,0,0.98,9.82,0.98,4.91,43.19,0,2.94,0.98,0,0,153.12,21.59,15.7,19.63,0,0.98,6.87,0,0.98,0.98,0,0,0,7.85,3.93,21.59,1.96,4.91
 72-82,0,0,0.98,0,0,0.98,0,17.67,0,0.98,43.19,0.98,8.83,28.47,0,0,0,2.94,0,203.2,27.49,15.71,27.49,0.98,0,11.78,0,3.93,0,0,1.96,0,3.93,6.87,41.23,15.71,3.93
 84-94,0,0,0,0,4.25,0,1.06,14.87,1.06,3.19,21.24,2.12,4.25,55.23,1.06,2.12,0,3.19,0,121.07,18.05,6.37,11.68,0,1.06,18.05,0,1.06,0,0,4.25,0,3.19,7.43,29.74,8.5,6.37
 96-106,1.09,0,0,0,9.84,1.09,1.09,26.23,0,2.19,38.25,2.19,10.93,74.31,1.09,2.19,0,3.28,0,136.61,21.86,9.84,19.67,1.09,0,19.67,0,5.46,4.37,0,2.19,0,5.46,8.74,60.11,22.95,8.74
108-118,0,0,0,0,6.13,1.53,9.96,16.09,0.77,1.53,41.36,2.3,1.53,64.34,0,6.89,0,6.13,1.53,116.43,14.55,6.13,16.85,0,0.77,16.85,0,4.6,0,0,3.83,0,4.6,1.53,43.66,5.36,3.83
120,0,0,0,1.96,5.88,0,1.96,7.84,3.92,0,25.48,1.96,13.72,56.83,0,1.96,0,7.84,0,62.71,17.64,3.92,7.84,0,0,21.56,0,11.76,1.96,0,1.96,0,1.96,5.88,41.16,13.72,3.92
