stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,9,0,0,0,0,0
 24-34,0.82,0.82,0,16.42,0,0,0,0.82,0,0,0,0,0,0,3.28,0,0,0,65.67,0,0,0,0,8.21,0,0,0,0,0
 36-46,0,0.81,0,8.06,0.81,0,0,2.42,0,0,0,0,0,0,7.25,0,0,0.81,22.56,0,0,0,0,5.64,0,0,0,0,0.81
 48-58,0,6.31,0,8.03,0.57,0,0,1.15,0,0,0,0,0,0,41.89,0,0,1.72,20.08,0,0,0,0,2.3,0,0,0,0,0
 60-70,0,15.7,0,24.54,0.98,0.98,0,3.93,0,0,0,0,0,0,117.78,0,0.98,4.91,26.5,0,0.98,0.98,0.98,1.96,0,1.96,0,0,0
 72-82,0,29.45,0,55.95,2.94,0,0.98,7.85,0,0.98,0.98,0,0,0,267.99,0,1.96,11.78,23.56,0.98,0.98,0.98,0.98,1.96,0.98,0.98,0,3.93,0
 84-94,0,62.66,0,55.23,2.12,1.06,0,6.37,0,0,1.06,0,0,0,141.25,0,1.06,9.56,13.81,0,0,0,0,0,0,2.12,0,2.12,0
 96-106,0,68.85,3.28,39.34,8.74,2.19,5.46,9.84,1.09,0,1.09,0,0,0,187.97,0,3.28,8.74,27.32,1.09,0,3.28,2.19,1.09,1.09,3.28,2.19,4.37,0
108-118,0,81.19,0,39.83,9.19,4.6,1.53,8.43,1.53,0.77,0,2.3,0.77,1.53,231.32,0.77,6.89,8.43,27.57,0,0,2.3,1.53,0.77,0.77,1.53,0,3.83,0
120,0,50.95,1.96,23.52,7.84,5.88,1.96,7.84,5.88,0,1.96,1.96,0,0,174.42,0,5.88,1.96,29.4,0,0,3.92,0,0,0,0,0,11.76,0
