stage,blastomeres,epidermis,eye,glial,immune,ionocyte,mesenchyme,mucous,neural,olfactory,periderm,pronephros,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,1.15,0.57,0,0,0,0,4.02,0,0,0,0
 60-70,0,0,0.98,0,0,0,0.98,0.98,0,0.98,0,0,0
 96-106,0,0,0,0,0,0,0,0,2.19,1.09,0,0,0
108-118,0,1.53,0,0,0,0.77,0,0,0.77,0,0.77,0,0
120,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0
