stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,5.26,0,0,0,0,0,0,0,26.29,0,13.14,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,18.88,0,9.44,0,3.15,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,9.85,0,0,0,0,1.64,0
 36-46,0,0,0,0.81,0.81,0,0.81,0,0,0,0,0,1.61,0,0,0.81,0,0,0
 48-58,0,0,0,0,1.15,0,0,0.57,0,1.15,0,0,1.15,1.15,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0.98,0,0.98,2.94,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,2.94,0,0,0.98,0.98,0.98,0,0,9.82,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,1.06,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,1.96,1.96,0,0,0,1.96,1.96,0,11.76,0,0,3.92,1.96,0,0
