stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,4,0,0,0,0,0,0,41,0,0,0,0,0
 24-34,0,0,2.46,1.64,0,5.75,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,2.46,559.82,35.3,0,0,0,0.82,0,0,101.79,0,0,0,0,0
 36-46,0,0,0.81,0,0,111.18,0,0,0,0,0,0,1.61,0,0,0.81,0,0,2.42,1.61,0,0,1.61,1988.39,49.95,0,0,0,0,0,0.81,293.26,0,0,0,0,0.81
 48-58,0,0,0,5.16,0,332.23,0.57,0.57,0,14.35,0,0,0,0.57,0,0.57,0.57,0,5.74,14.92,0,1.15,1.72,2645.24,26.97,0.57,0,0,2.3,0,0,306.41,0,0,0,0,4.02
 60-70,0,0,0,0.98,0,531,0,0,1.96,16.69,0.98,0,0,0,0,0,0,0,3.93,19.63,0.98,0,1.96,3438.27,20.61,1.96,0,0,2.94,0,0.98,330.77,0,0,0,0,1.96
 72-82,0,0,2.94,12.76,4.91,484.94,0.98,0,0.98,26.5,0.98,0,0.98,0.98,0,2.94,0,0,6.87,40.25,0,0,0,2629.87,39.27,0,0,0,4.91,0,0,193.39,5.89,0.98,4.91,0,0.98
 84-94,0,0,1.06,11.68,3.19,331.36,0,0,2.12,42.48,1.06,0,3.19,2.12,1.06,0,1.06,0,20.18,27.61,0,3.19,3.19,1291.44,24.43,0,0,1.06,4.25,0,0,98.77,2.12,2.12,3.19,0,0
 96-106,0,0,1.09,8.74,5.46,206.55,1.09,1.09,1.09,29.51,1.09,0,0,0,0,3.28,1.09,1.09,7.65,24.04,1.09,1.09,1.09,1003.23,22.95,1.09,0,1.09,3.28,0,0,42.62,2.19,1.09,2.19,1.09,1.09
108-118,0,0,0,18.38,2.3,187.66,0,1.53,0,24.51,1.53,0,0,2.3,1.53,0,0,0.77,9.96,18.38,0,0,1.53,1378.73,23.74,1.53,0,0.77,0.77,0,0,30.64,3.06,0.77,1.53,0,0.77
120,0,0,0,15.68,1.96,188.14,0,1.96,1.96,21.56,1.96,0,0,0,0,0,0,1.96,1.96,11.76,0,1.96,3.92,1175.87,9.8,0,0,1.96,1.96,0,1.96,27.44,0,0,0,0,1.96
