stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,2.46,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,8.06,0,0,0,0,0,0.81,0,0.81,0,0,0.81,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0,5.74,0.57,0,0,0.57,32.13,0,0,0.57,0,0,0.57,0,1.72,0,0,0.57,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,4.91,0,0,0,0,4.91,0,0,0,0,94.23,0,0,0.98,0,0,6.87,0,5.89,0,0,0,15.7,0,0,0,0,0.98,0,0,4.91,0,0,0.98,0,0.98
 72-82,0,0,27.49,0,5.89,1.96,0.98,25.52,0.98,1.96,0.98,4.91,253.27,0,0,1.96,0,0,3.93,0,21.6,0,0,0.98,127.62,0,0,0,0,1.96,0.98,1.96,6.87,0.98,1.96,3.93,0,0.98
 84-94,0,0,18.05,1.06,6.37,3.19,0,23.36,0,0,2.12,5.31,474.73,0,1.06,3.19,3.19,0,5.31,1.06,15.93,1.06,0,2.12,53.1,0,1.06,1.06,0,16.99,0,0,2.12,0,0,2.12,0,1.06
 96-106,0,0,21.86,1.09,24.04,13.11,0,81.96,0,4.37,1.09,19.67,631.67,2.19,8.74,2.19,1.09,2.19,19.67,0,53.55,3.28,1.09,3.28,242.61,0,5.46,7.65,2.19,51.36,0,1.09,5.46,3.28,2.19,10.93,2.19,4.37
108-118,0,0,15.32,3.06,21.45,7.66,3.83,43.66,1.53,4.6,1.53,13.79,695.49,3.06,1.53,4.6,3.06,1.53,13.79,1.53,46.72,0,2.3,9.96,220.6,0.77,3.06,1.53,0.77,21.45,0,1.53,2.3,2.3,1.53,7.66,2.3,1.53
120,1.96,0,15.68,0,5.88,5.88,3.92,27.44,0,1.96,0,15.68,513.46,1.96,1.96,1.96,1.96,0,19.6,0,19.6,0,0,1.96,160.7,1.96,0,0,0,7.84,0,0,0,0,1.96,3.92,3.92,0
