stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 14-21,0,6,18,0,0,0,0,3,1,0,0,0,0,2,0,0,3,0,0,3,0,0,0
 24-34,0,4.1,11.49,0,0,1.64,0,3.28,0,2.46,0.82,0,0,6.57,1.64,1.64,4.1,0.82,0,32.01,0,0,0
 36-46,0,0,5.64,0,0,1.61,0,2.42,0,4.03,0.81,0.81,0,0,0,0,0.81,2.42,0,26.59,0.81,0,0
 48-58,0,0,3.44,0,1.72,0,0,0,0,6.31,0,1.15,0,0,0,0,1.72,0.57,0,21.23,0,0,0
 60-70,0,0,6.87,0,0.98,1.96,0,0,0,5.89,0,0.98,0,0.98,1.96,0,0,0,0,12.76,0,0,0
 72-82,0,0,4.91,0.98,0,4.91,0.98,0,0,24.54,0,2.94,0,0.98,1.96,0,2.94,0.98,0.98,18.65,0,0,0
 84-94,0,0,13.81,0,1.06,11.68,0,0,0,14.87,1.06,2.12,0,1.06,2.12,0,0,2.12,0,52.04,0,0,0
 96-106,0,0,10.93,0,3.28,7.65,1.09,1.09,0,33.88,0,4.37,0,3.28,1.09,0,3.28,3.28,0,29.51,1.09,1.09,2.19
108-118,0,0,16.85,0,0,15.32,1.53,1.53,0,14.55,1.53,3.06,0.77,0.77,0.77,0,2.3,0.77,2.3,22.21,0,0.77,0
120,0,0,15.68,0,0,11.76,0,0,0,11.76,0,3.92,0,3.92,0,0,5.88,0,1.96,21.56,0,0,0
