stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,31,2,5,4,0,0,2,0,1,0,0,0,2,5,0,0,4,26,18,0,0,2,0,3,2,9,1,2,3,9,0,0,4,0,0
 24-34,77.16,0,3.28,15.6,0.82,2.46,0,0.82,0,0,0,0,0.82,18.06,2.46,0,20.52,57.46,3.28,0,0,0,0,36.94,0,0,0,0.82,0,18.88,0,0,4.1,0,0
 36-46,49.15,0,7.25,8.86,3.22,8.86,0,4.03,0,0,0,0,0,28.2,1.61,0,7.25,62.04,0.81,0.81,0,0,0,61.23,0,0,0.81,0,0,24.98,0,0,9.67,0,0
 48-58,29.84,0,8.03,11.48,11.48,6.31,0,4.59,1.15,0,0.57,0,0.57,57.95,1.15,0,13.2,31.56,0,1.15,0.57,0,0,33.85,0,0,0,0,0,15.49,0,0,6.31,0,0.57
 60-70,16.69,1.96,12.76,14.72,10.8,3.93,0,2.94,0,0,0,0,0,142.32,0,0.98,7.85,20.61,0,0.98,0.98,0,0,34.35,0,0,0,0,0,6.87,0,1.96,2.94,0,0
 72-82,19.63,4.91,16.69,8.83,19.63,5.89,0,13.74,0,4.91,0,0.98,0,356.34,0.98,3.93,8.83,18.65,0,0,0,0,0,12.76,0,0,1.96,0,0,3.93,0.98,2.94,17.67,1.96,0
 84-94,38.23,1.06,18.05,24.43,16.99,4.25,1.06,6.37,0,1.06,0,0,0,175.24,1.06,1.06,5.31,6.37,0,0,2.12,0,0,29.74,0,0,1.06,0,0,0,0,3.19,8.5,2.12,0
 96-106,21.86,1.09,13.11,16.39,8.74,2.19,0,12.02,0,8.74,0,1.09,1.09,240.43,0,4.37,5.46,15.3,0,0,3.28,0,1.09,9.84,0,0,0,0,0,2.19,1.09,6.56,5.46,5.46,1.09
108-118,38.3,0,8.43,25.28,9.19,3.06,0,5.36,0.77,19.15,0,0,0,210.64,0.77,1.53,2.3,21.45,0,1.53,2.3,0,0,6.89,0,0,0,0,0,0,0,7.66,13.79,3.06,0
120,25.48,1.96,1.96,13.72,5.88,1.96,0,7.84,0,5.88,0,0,0,168.54,0,1.96,3.92,19.6,0,0,0,0,0,5.88,0,0,0,0,0,0,0,17.64,13.72,3.92,0
