stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,49.04,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,2,8,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0.82,0.82,0,36.94,0,0,0,0,0,0,0,6.57,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,11.28,0,0,0,0,0.81,0,0.81,0,0.81,29,0,0,0,0,0.81,0,0,7.25,0,0,0.81,0
 48-58,0,0,0.57,0,0,0,0,6.31,0,1.15,0,0.57,0,0.57,2.3,0,0,12.62,0,0,0,0,1.15,0,0,1.72,0,0,0,0
 60-70,0,0,0,0,0,0,0,13.74,0,1.96,0,0,0,0,1.96,0,0,12.76,0,0.98,0,0,0.98,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,6.87,0.98,2.94,4.91,0,0,0,4.91,0,0,13.74,0,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,4.25,0,1.06,3.19,0,0,0,1.06,1.06,0,3.19,0,1.06,0,0,2.12,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,4.37,1.09,2.19,10.93,0,0,1.09,1.09,0,1.09,2.19,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0.77,6.89,0,0,12.26,0.77,0.77,0,5.36,0,0,9.19,0.77,0,0,0.77,0.77,0,0,0,0,0.77,0,0.77
120,0,0,0,0,0,1.96,0,5.88,0,0,5.88,0,0,0,1.96,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0,0,0
