stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,10.51,0,0,21.03,0,0,0,0,0,2.63,0,0,0,0,0,0,197.15,10.51,0,0,70.98,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,207.7,9.44,0,0,62.94,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,9,1,16,0,0,0,14,1,0,0,0,0,3,0,1,220,1,0,3,4,2,1,1,2,132,0,0,0
 24-34,0,0,0.82,0.82,4.93,0.82,39.4,0,0.82,0,23.8,0,0,0.82,0,0,4.93,0,5.75,555.72,0,4.93,3.28,0,0.82,0,0,0.82,205.21,0,0.82,0
 36-46,0,0,0,0,0.81,0,93.46,0,0.81,0.81,46.73,0,0,0,0,0.81,4.83,0,0,505.96,0,2.42,0.81,0,0.81,0,0,0,203.03,0,0,0.81
 48-58,0,0,0,0,1.15,0,99.84,0,0,0.57,52.79,0,0,0,0,0,5.16,0,2.87,234.69,0,1.72,1.15,0,0,0,0,0,114.76,0,0.57,0.57
 60-70,0,0,0,0,3.93,0,113.86,0,0,0,59.87,0,0,0,0,0,3.93,0,0,160.97,0,1.96,0.98,0,0.98,0,0,0,26.5,0,0,1.96
 72-82,0,0,0,0,1.96,0,69.7,0,0,0,62.83,0,0,0,0.98,0,7.85,0,1.96,100.13,0,2.94,0,0,0,0,0,0,7.85,0,0,0
 84-94,0,0,0,0,1.06,0,50.98,0,1.06,3.19,54.16,0,0,0,0,0,6.37,1.06,2.12,56.29,0,2.12,3.19,0,0,0,0,0,18.05,0,0,1.06
 96-106,0,0,0,0,0,0,37.16,1.09,0,1.09,36.06,1.09,0,0,0,0,2.19,1.09,1.09,64.48,0,2.19,0,0,1.09,0,0,0,4.37,0,0,1.09
108-118,0,0,0,0,2.3,0.77,22.98,0,0,0,29.11,0,0,0,0,0.77,5.36,0,3.83,58.21,0,0.77,0,0,1.53,0,0,0,1.53,0.77,0,0
120,0,0,0,0,1.96,0,11.76,0,0,0,21.56,0,0,0,0,0,5.88,0,1.96,41.16,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0
