stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,5.26,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,18.88,0,0,22.03,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,15.6,0,0,0,0,0,0,0,0.82,0,0,0,0,0,6.57,0,0.82,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,47.53,0,0,0,0,0,0,0,1.61,0,0.81,0,0,0,10.47,0,0,0,0,0.81,0,0,0,0.81
 48-58,0,0,0,0,92.38,0,0,2.3,0,0,0,0,3.44,0,0,0.57,0,0,9.18,0,0,0,0,2.87,0,0,0,1.15
 60-70,0,0,0,0,144.28,0,0,9.82,0,0,0,0,2.94,0,0,0.98,0,0,7.85,0,0,0,0,0.98,0,0,0,1.96
 72-82,0,0,1.96,0,223.82,0,0.98,23.56,0,0,0,0,0.98,0,0,8.83,0,0.98,18.65,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,0,135.94,1.06,0,12.74,0,0,1.06,1.06,8.5,0,0,1.06,0,1.06,16.99,1.06,0,0,1.06,0,0,1.06,0,2.12
 96-106,0,0,2.19,0,116.93,0,0,17.49,0,1.09,1.09,0,8.74,1.09,1.09,4.37,1.09,1.09,14.21,1.09,0,0,3.28,1.09,2.19,0,0,1.09
108-118,0,0,2.3,0.77,80.43,0.77,0,15.32,0,0,0,0,17.62,0,0,2.3,0,0,9.19,0.77,0.77,0,0.77,0,0,0,0,0
120,0,0,0,0,52.91,0,0,9.8,0,0,0,0,5.88,0,0,1.96,0,1.96,13.72,0,0,0,1.96,0,0,1.96,0,0
