stage,blastomeres,epidermis,eye,hatching.gland,mesenchyme,neural,paraxial.mesoderm,pgc,presomitic.mesoderm,spinal.cord,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,2.63,7.89,0,0,0,0
 10-12,0,0,0,3.15,0,6.29,3.15,0,0,0,0
 14-21,0,0,2,0,0,7,0,1,1,3,0
 24-34,0,0,0,0,0,1.64,0,0,0,1.64,0
 36-46,0,0,0,0,0,0.81,0,0.81,0,0,0
 48-58,0,0,0.57,0,0,1.15,0,0,0,0.57,0
 60-70,0,0,0,0,0,4.91,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,2.12,0,0,0,0,0
 96-106,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0.77,0,0,0.77
