stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,197.67,2701.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0
  5-6,30.65,337.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,6.13,6.13,0,0,0,0,0,0,0
  7-9,2.63,2.63,13.14,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,31.54,0,0,0,7.89,0,36.8,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,1,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,0,0,7.39,0.82,0,0,0.82,4.93,1.64,0.82,0,0,0,0,0,0,17.24,0,0,0
 36-46,0,0,0,0,0,5.64,0,0,0,0,0,0,0,8.06,0.81,0.81,1.61,0,11.28,0,0.81,0,0,0,0,0,0,20.14,0.81,0,1.61
 48-58,0,0,0,0,0,27.54,0,0,1.15,0,0,0,0,21.8,3.44,0.57,2.3,0,17.79,0,1.72,0,0,0,0,0,0,5.16,0,0,0
 60-70,0,0,0,0,0,125.63,0,0.98,1.96,0,0,0,0,39.26,4.91,0,4.91,0.98,43.19,0,0.98,0.98,0,0.98,0,3.93,0,4.91,0.98,0,0
 72-82,0,0,0,0,0,262.1,0,0,10.8,2.94,0,0.98,0,45.16,12.76,0.98,9.82,0.98,65.77,0,0.98,1.96,0,0,0,0.98,0,3.93,0,0,0
 84-94,0,0,0,2.12,0,218.78,0,0,6.37,0,0,1.06,0,39.3,9.56,0,9.56,1.06,33.99,0,4.25,0,0,1.06,0,0,0,5.31,0,0,0
 96-106,0,0,0,1.09,1.09,218.57,0,0,5.46,1.09,0,1.09,0,48.09,20.76,0,17.49,0,29.51,0,15.3,2.19,0,0,0,3.28,0,4.37,2.19,1.09,1.09
108-118,0,0,0.77,2.3,0,153.96,0,0,5.36,0.77,0,0,0.77,43.66,13.79,2.3,6.89,0,37.53,0,6.89,0,0,0.77,0,0.77,0,3.06,0.77,0,0
120,0,0,0,1.96,0,137.18,1.96,0,5.88,0,0,1.96,0,27.44,9.8,0,1.96,0,39.2,0,9.8,1.96,0,0,0,1.96,0,3.92,0,0,0
