stage,axial,blastomeres,epidermis,eye,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,4.1,0,0,0,0,0,1.64
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0.81,1.61,3.22,0,5.64,0,0,0,0,0,0.81
 48-58,0,0,0,1.15,1.15,1.15,0.57,0,0,0,0,0,0.57,5.16,0,8.03,0.57,0,0,0,0,2.3
 60-70,0,0,0,2.94,0.98,3.93,0,0,0,0.98,0,0.98,0,5.89,0,9.82,0,0,0,0,0,1.96
 72-82,0,0,0,2.94,0.98,13.74,1.96,0,0,2.94,0,0,0.98,13.74,0,5.89,0,0,0,0,0,0
 84-94,0,0,2.12,0,0,57.35,0,0,0,2.12,1.06,0,0,18.05,0,3.19,0,0,0,0,0,0
 96-106,0,0,1.09,2.19,0,65.57,0,0,1.09,3.28,0,1.09,2.19,9.84,0,3.28,0,0,0,0,1.09,0
108-118,0,0,1.53,0.77,0.77,72.77,0,0,0,4.6,0,0,0,12.26,0,8.43,0,0.77,0,1.53,0,0
120,0,0,0,0,0,39.2,0,1.96,0,3.92,0,0,1.96,5.88,1.96,3.92,0,0,0,0,1.96,0
