stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,6.29,0,0,28.32,0,9.44,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,27,0,0,0,0,0,1,1,1,0,0,0,14,0,10,0,0,3,21,1,0,0,0,0,3,0,6,0,3,10,0,0,0,0
 24-34,0,0,0,0,9.85,0,0,1.64,0.82,0,0,0.82,0,0,0,0,8.21,0,6.57,0.82,0,3.28,24.63,0.82,0,0.82,0,0,13.13,0,0,0,1.64,8.21,0,2.46,0,0.82
 36-46,0,0,0,0,8.06,0,0,1.61,0,0,2.42,1.61,1.61,0,0,0,2.42,1.61,8.86,0,0.81,2.42,8.06,0,0,0,0,0,16.11,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,9.18,0,0,0.57,0,0.57,2.87,1.72,0.57,0,0.57,0.57,1.15,0.57,12.05,0,0,1.72,5.16,0,0,0.57,0,0,11.48,0,0,0,0,2.87,0.57,0.57,0,1.72
 60-70,0,0,0,0,11.78,0,0,2.94,1.96,1.96,1.96,7.85,0,0,1.96,0,1.96,0.98,16.69,0,0,1.96,4.91,0,0,0,0,0,3.93,0,0,0,0,0.98,0,0.98,0.98,0.98
 72-82,0,0,0,0,8.83,0,0,2.94,0,0.98,4.91,28.47,0.98,0.98,7.85,0.98,0.98,0,19.63,0,0,0.98,10.8,0,0,0,0,0.98,6.87,0,0,0.98,0,0.98,0,1.96,1.96,0.98
 84-94,0,0,0,0,14.87,0,0,3.19,2.12,0,1.06,53.1,0,1.06,7.43,0,1.06,0,11.68,0,1.06,0,3.19,0,0,1.06,0,0,12.74,0,0,0,0,0,0,1.06,2.12,0
 96-106,0,0,1.09,0,5.46,1.09,0,2.19,2.19,1.09,3.28,104.91,1.09,0,8.74,0,0,0,13.11,0,1.09,2.19,20.76,0,0,1.09,0,3.28,3.28,0,0,3.28,0,0,0,1.09,1.09,4.37
108-118,0,0,0.77,0.77,13.79,0,0.77,5.36,0.77,0.77,3.83,110.3,1.53,0.77,13.79,0,1.53,0,14.55,0,0.77,0.77,23.74,0.77,1.53,0,0,1.53,0.77,0,0,0,0,0,0,0.77,0.77,0.77
120,0,0,1.96,0,9.8,0,0,3.92,1.96,0,0,72.51,0,0,7.84,0,5.88,0,7.84,1.96,1.96,0,17.64,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,1.96
