stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,44.69,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,31.47,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,2,0,3,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,1.64,0,1.64,2.46,0,0,0,0,0,13.95,0,0,2.46,0,0,0,0,0
 36-46,0,0,0.81,0,2.42,0,0,0,0,0,0,0.81,0,0,0,2.42,0.81,0,8.86,0,0,0,0,0,15.31,0,0,1.61,0,0.81,0,0,0
 48-58,0,0,0,0,2.3,0,0.57,0.57,0,0,0,1.15,0,0,0,5.74,1.72,1.15,5.74,0,0.57,0,0,0.57,5.74,0,0,2.87,0,2.3,0,0,0
 60-70,0,0,0,0,2.94,0,0,0,3.93,0,0,1.96,0,0,0,16.69,15.7,0,0,0,0,0.98,0,7.85,3.93,0,0,0,0,11.78,0,4.91,0
 72-82,0,0,0,0.98,7.85,0,0,0,1.96,0,0,3.93,0,0,0,14.72,30.43,3.93,16.69,0,0,0.98,0,15.71,4.91,0,0,1.96,0,32.39,0.98,26.5,0
 84-94,0,0,1.06,0,19.12,0,0,0,3.19,0,0,0,0,1.06,0,15.93,30.8,5.31,7.43,0,0,1.06,0,14.87,12.74,0,0,1.06,0,27.61,0,22.3,2.12
 96-106,0,0,4.37,0,14.21,0,0,0,3.28,0,0,7.65,1.09,1.09,1.09,22.95,17.49,4.37,16.39,0,0,0,0,34.97,4.37,0,0,0,1.09,33.88,2.19,51.36,0
108-118,0,0,2.3,0,6.89,0.77,0.77,1.53,0,0,0,1.53,0.77,0.77,0,12.26,32.17,3.06,15.32,0,0,0,0,28.34,6.13,0,0,0,0,16.85,0,39.06,1.53
120,0,0,9.8,0,9.8,0,0,1.96,1.96,0,0,1.96,0,1.96,0,21.56,23.52,7.84,5.88,0,1.96,0,0,15.68,3.92,0,0,0,0,19.6,0,33.32,0
