stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,21.03,0,0,0,0,2.63,0,0,0,0,0,0,0,0,97.26,0,0,0,18.4,0,2.63,0,0,0,0,0,0,0
 10-12,6.29,6.29,0,0,34.62,0,0,0,0,6.29,0,0,0,0,0,0,0,0,147.91,0,0,0,37.76,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,5,1,4,0,0,4,0,0,0,0,0,0,0,1,0,0,128,1,0,1,1,0,0,2,0,3,35,0,0,0
 24-34,0,0,0.82,0,12.31,0,0,5.75,0,0,0,0,0,0,0,5.75,0,0.82,222.45,0,0,0.82,0,0.82,0,0,0,0,55.82,0,0,0.82
 36-46,0,0,0.81,0,33.03,0,0,17.72,0,0,0,0,0,0,1.61,9.67,0,3.22,307.77,0,1.61,0.81,0,0,0.81,0,0,0,77.34,0,1.61,4.03
 48-58,0,0,0,0,54.51,0.57,0.57,26.97,0,0,0.57,0,0,0.57,1.72,13.77,0.57,3.44,228.37,0,0,0,0,0.57,0,0,0,0,40.17,0,0,5.74
 60-70,0,0,0,0,84.41,0,0,22.58,0,0,0,0.98,0,0,1.96,14.72,0,0,199.25,0,0,0,0,0,0,0,0.98,0,17.67,0,0,6.87
 72-82,0,0,0.98,0,38.28,0,0.98,10.8,0,0,0,0.98,0.98,0,0.98,10.8,0.98,1.96,122.71,0,0,0.98,0,0,0,0,0,0,8.83,0,0,1.96
 84-94,0,0,1.06,0,32.92,0,0,10.62,1.06,0,0,0,0,0,1.06,7.43,0,1.06,61.6,0,0,1.06,0,1.06,0,0,0,0,4.25,1.06,1.06,3.19
 96-106,0,0,0,0,15.3,0,1.09,4.37,0,0,0,0,0,0,1.09,6.56,0,1.09,46.99,0,0,1.09,0,1.09,0,0,0,0,2.19,0,0,1.09
108-118,0,0,0,0,7.66,0,0,4.6,0,0,0,0,0.77,0,2.3,1.53,0,0.77,28.34,0,0,0,0,0,0,0,0,0,2.3,0,0.77,1.53
120,0,0,0,0,11.76,0,0,5.88,0,0,0,0,0,0,0,3.92,0,0,25.48,0,0,0,0,0,0,0,0,0,0,0,0,0
