stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,43,0,1,0,0,0,0,2,94,0,0,0,0,0
 24-34,0,0,4.1,0.82,0,3.28,0,2.46,0,0,0,0.82,0,0.82,0,0,0,0.82,0,0,0,0.82,259.39,0,2.46,0,0,0.82,1.64,0,197.01,0,0,0,0,0.82
 36-46,0,0,0.81,0.81,0,10.47,0.81,0,0,1.61,0,0,0,0,0,0,0,0.81,0.81,0,0,1.61,421.37,0,2.42,0,0,0,0,0,187.72,0,0,0,0,0
 48-58,0,0,0.57,0.57,0,21.8,0,0,0,17.21,0,0,0,0,0,0,0,0.57,3.44,0,0,0.57,372.4,0.57,1.15,0,0,0,0,0,122.22,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,0.98,40.24,0,0,0,43.19,0.98,0,0,0,0,0.98,0,0,3.93,0,0,1.96,637.01,0,1.96,0,0,0.98,0,0,116.8,0,0.98,0,0,0.98
 72-82,0,0,8.83,4.91,2.94,81.48,0.98,0.98,0.98,43.19,0,0.98,0,0,0,0,0,0,5.89,0.98,0,0.98,1025.84,0,1.96,0.98,0,2.94,0.98,0,120.74,0,0,1.96,0.98,0.98
 84-94,0,0,2.12,2.12,1.06,65.85,0,1.06,0,15.93,0,0,2.12,0,2.12,0,1.06,0,8.5,0,1.06,1.06,571.38,0,0,1.06,0,3.19,0,0,60.54,0,1.06,1.06,0,0
 96-106,0,0,3.28,6.56,0,71.04,0,0,1.09,30.6,1.09,0,1.09,0,0,0,2.19,0,9.84,0,0,1.09,648.06,0,0,2.19,0,7.65,0,0,40.44,0,0,3.28,0,0
108-118,0,0,3.83,7.66,0.77,48.26,0.77,1.53,0,27.57,1.53,0,0,0.77,0,0,2.3,0,8.43,0.77,0,0.77,733.79,0.77,1.53,1.53,0,0.77,0,0,37.53,0.77,0,0.77,0.77,0.77
120,0,0,3.92,7.84,0,54.87,0,0,0,35.28,1.96,0,0,1.96,0,0,0,0,11.76,0,0,0,823.11,1.96,0,0,0,1.96,1.96,0,56.83,0,0,0,0,0
