stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,23.66,0,10.51,0,0,102.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217.09,26.29,0,0,346.99,2.63,0,0,0,0,0,0
 10-12,0,12.59,0,50.35,0,0,213.99,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,1346.9,37.76,0,0,336.73,0,0,3.15,0,12.59,0,0
 14-21,0,0,0,0,231,3,1,2,0,74,9,0,1,0,0,0,0,0,0,3,0,0,1,387,19,0,1,14,15,17,1,2,795,0,0
 24-34,0,0,0,0,73.88,0,7.39,5.75,0,48.43,0,0,0,0,0,0,0,0,0,2.46,0.82,0,0.82,406.32,0.82,0,0,0,76.34,0,0,0,315.21,0,0
 36-46,0,0,0,0,23.36,0,1.61,4.03,0,5.64,0,0,0,0,0,0,0,0,0,0.81,0,0,0,135.35,0.81,0,0,0,68.48,0,0,0,237.67,0,0
 48-58,0,0,0,0.57,16.07,0,6.89,8.03,0.57,16.07,0,0,0,0.57,0.57,0,0,0.57,0,3.44,0.57,0,0.57,76.89,0,0.57,0,0,70.58,0,0,0,153.78,0,0.57
 60-70,0,0,0,0,21.59,0,5.89,3.93,0,35.33,0.98,0,0,0,0.98,0,0,0.98,0,2.94,0.98,0,0,62.82,0,0,0,0,36.32,0,0,0,99.13,0,0
 72-82,0,0,1.96,0,19.63,0.98,9.82,0.98,0,86.39,0.98,0,0,0,0,0.98,0,0,0,3.93,0,0,0,74.61,0.98,0,0,0,43.19,0,0,0,72.64,0,1.96
 84-94,0,0,0,0,31.86,0,9.56,18.05,0,40.36,1.06,0,0,0,1.06,1.06,1.06,1.06,0,0,0,1.06,0,42.48,0,0,0,0,167.8,0,0,0,55.23,0,0
 96-106,0,0,0,0,37.16,2.19,7.65,10.93,0,55.74,2.19,0,0,0,3.28,0,0,0,1.09,3.28,0,0,0,33.88,0,0,1.09,0,86.33,0,1.09,0,31.69,0,0
108-118,0,0,0,0,39.83,0,3.06,7.66,0.77,56.68,1.53,0,0,0,0.77,0,0,0,0.77,2.3,1.53,0.77,0,27.57,0,0,0,0,70.47,0,0,0,26.81,0,0
120,0,0,0,0,41.16,1.96,1.96,9.8,0,23.52,0,0,0,0,0,0,0,0,0,3.92,3.92,0,0,25.48,0,0,0,0,60.75,0,0,0,19.6,1.96,0
