stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,115.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,50.35,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.5,3.15,0,0,566.45,0,0,0,53.5,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,250,43,1,0,2,0,27,29,0,0,1,0,0,0,39,0,0,38,57,60,1,0,166,0,3,501,4,4,126,533,0,0,1,0,0
 24-34,0,0,0,0,114.92,1.64,6.57,0,28.73,10.67,44.33,14.78,0,0,0,0,0,4.1,73.88,1.64,0.82,101.79,74.7,21.34,0,0,0,0,10.67,3.28,0,5.75,114.92,465.43,0,0,13.95,0,2.46
 36-46,0,0,0.81,0,15.31,0,2.42,1.61,24.17,16.92,28.2,7.25,0,0,0.81,0.81,0,0.81,127.3,0,5.64,119.24,65.26,16.11,0,0,0,0,21.75,0,0,3.22,0.81,602.64,0,0,8.86,0,2.42
 48-58,0,0,0,0,9.18,0,13.77,0.57,28.69,15.49,33.85,1.72,0.57,0.57,0,0,1.72,4.02,122.79,0.57,6.31,80.91,79.76,12.05,0,0,0,0,22.38,0,0,1.72,0,627.17,0,0,2.87,0,4.02
 60-70,0,0,0,0,9.82,0,9.82,2.94,21.59,24.54,31.41,1.96,0,0,0,0,0,0,90.3,0,12.76,42.21,53.98,7.85,0.98,0.98,0,0,12.76,0,0,2.94,0,571.25,0,0.98,0.98,3.93,0.98
 72-82,0,0,0,0,7.85,0,12.76,0.98,21.6,38.28,44.17,0.98,0,0,0,0.98,0,0.98,108.96,1.96,14.72,47.12,75.59,6.87,0.98,0,0,0,9.82,0,0,0,0,322.97,0.98,1.96,0.98,8.83,3.93
 84-94,0,0,1.06,0,31.86,0,23.36,2.12,52.04,29.74,39.3,9.56,0,1.06,0,2.12,0,1.06,71.16,2.12,20.18,47.79,40.36,5.31,0,1.06,0,0,18.05,0,0,2.12,0,216.66,0,0,4.25,10.62,3.19
 96-106,0,0,2.19,0,14.21,1.09,13.11,2.19,30.6,29.51,28.41,7.65,0,0,0,2.19,1.09,2.19,62.29,2.19,12.02,32.79,45.9,6.56,0,1.09,0,1.09,12.02,0,0,2.19,0,44.81,0,4.37,2.19,13.11,1.09
108-118,0,0,0.77,0,26.04,0.77,4.6,0.77,46.72,13.79,21.45,13.02,0,0,0.77,3.06,0.77,2.3,54.38,0.77,9.96,32.17,34.47,5.36,0,0,0,0,16.09,0,0,0,0,39.83,0,1.53,4.6,8.43,1.53
120,0,0,0,0,35.28,0,3.92,0,35.28,9.8,21.56,9.8,0,0,1.96,5.88,0,0,62.71,0,3.92,27.44,33.32,9.8,0,0,0,0,39.2,0,0,1.96,0,33.32,0,0,1.96,9.8,0
