stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,7,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,14,1,0,0,1,0,1,2,0,0,1,6,0,0,0,0
 24-34,0,1.64,4.93,0,0,4.1,0,0,0,0.82,0,0,0,0,0,0,0,0,5.75,0,0,0,23.8,0,0,1.64,0,0,0,0,0.82,0,1.64,3.28,0,0.82,0,0
 36-46,0,0,1.61,0.81,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,8.86,0,0,0.81,22.56,0.81,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0
 48-58,0,0,0.57,1.15,0,1.72,0,0,0.57,0.57,0,0.57,0,0,0,0.57,0,0,2.87,0,0,0,10.33,0,0,0,0,0,0,0,0,0,0,3.44,0,0.57,0,0.57
 60-70,0,0,0.98,9.82,0,3.93,0,3.93,0.98,2.94,0,0,0,0,0,0,0,0,12.76,0,0,0,26.5,0.98,0.98,2.94,0,0,0.98,0,0,0.98,0,8.83,0,0,0,1.96
 72-82,0,0,0,31.41,0,0.98,0.98,0,0.98,3.93,0,0,0,0,0,0,0.98,0,28.47,0,0.98,0,41.23,0,0,2.94,0,0,1.96,0,0.98,0,0,12.76,0,0.98,0,0.98
 84-94,0,1.06,10.62,37.17,0,6.37,0,3.19,1.06,5.31,1.06,0,0,1.06,0,1.06,0,0,14.87,0,0,1.06,32.92,1.06,0,5.31,0,0,12.74,0,3.19,1.06,0,6.37,1.06,2.12,1.06,1.06
 96-106,0,0,6.56,24.04,2.19,10.93,1.09,5.46,0,12.02,1.09,1.09,2.19,2.19,0,3.28,0,0,25.14,2.19,3.28,2.19,33.88,0,0,8.74,0,1.09,6.56,0,0,1.09,0,3.28,0,2.19,2.19,2.19
108-118,0,0,7.66,24.51,0.77,6.89,0.77,9.96,0,5.36,0.77,0.77,1.53,0.77,0,2.3,0.77,0.77,36.77,0.77,0,2.3,40.6,1.53,0,13.02,0,0,11.49,0,0,2.3,0,0,0,1.53,2.3,1.53
120,0,0,15.68,19.6,0,9.8,1.96,9.8,0,9.8,0,0,0,0,1.96,1.96,0,0,21.56,0,1.96,0,29.4,0,0,11.76,0,0,13.72,0,1.96,1.96,0,1.96,1.96,0,1.96,1.96
