stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,1607.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,508.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,7.89,0,0,0,15.77,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,115.66,10.51,0,0,44.69,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,9.44,0,0,0,0,116.44,0,0,0,0,0,0,0,0,0,0,0,107,15.73,0,0,34.62,0,6.29,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,15,12,49,6,0,10,3,0,1,4,90,0,1,0,0,0,4,0,3,0,0,6,72,59,1,2,3,0,15,3,2,1,6,58,0,0,4,0,1
 24-34,0,0,18.88,4.93,59.92,0,0,29.55,10.67,3.28,1.64,2.46,8.21,1.64,13.95,18.06,0,1.64,18.06,4.1,45.15,6.57,0,25.45,169.1,121.49,13.13,6.57,0,0,108.35,0.82,0,22.98,0.82,83.73,0,0,9.03,0,2.46
 36-46,0,0,11.28,0.81,16.92,0,0,24.98,4.83,15.31,9.67,3.22,0,2.42,10.47,4.83,0.81,3.22,8.86,4.83,56.4,6.45,0,17.72,183.69,120.04,16.92,4.03,0,0,107.15,0.81,0.81,14.5,0,51.56,0,0,7.25,0,4.83
 48-58,0,0,10.33,0,11.48,0,0,31.56,10.33,17.79,21.8,1.72,0.57,1.72,6.31,0.57,4.59,3.44,10.33,0.57,137.14,10.33,1.72,25.25,190.5,75.74,13.77,13.77,0,0,114.76,0,0,5.16,0,32.13,0,1.15,2.3,0,7.46
 60-70,0,0,12.76,0.98,22.58,0,1.96,107.97,5.89,14.72,33.37,17.67,0,0.98,11.78,0,11.78,8.83,9.82,0,239.49,3.93,3.93,10.8,314.09,42.21,17.67,18.65,0,0,67.73,0,0,2.94,0,23.56,0,4.91,2.94,0,1.96
 72-82,0,0,51.05,0,19.63,0.98,19.63,202.22,4.91,18.65,67.73,48.1,0,4.91,17.67,5.89,23.56,15.71,11.78,0,401.5,12.76,6.87,20.61,470.22,26.5,26.5,34.36,0,0.98,47.12,0,0,5.89,0,20.61,0.98,9.82,6.87,6.87,2.94
 84-94,0,0,48.85,1.06,43.54,2.12,53.1,202.85,11.68,24.43,32.92,101.96,1.06,4.25,28.68,6.37,45.67,28.68,72.22,1.06,355.78,14.87,6.37,21.24,225.15,46.73,22.3,39.3,0,0,121.07,1.06,0,10.62,0,13.81,8.5,12.74,7.43,5.31,1.06
 96-106,0,0,57.92,0,41.53,0,62.29,121.31,2.19,8.74,46.99,127.86,0,4.37,43.71,7.65,55.74,45.9,52.46,0,216.38,8.74,2.19,10.93,236.05,22.95,28.41,34.97,0,2.19,91.8,2.19,0,6.56,0,16.39,7.65,5.46,15.3,13.11,2.19
108-118,0,0,37.53,3.06,41.36,1.53,123.32,78.89,5.36,6.89,52.09,132.51,0,2.3,26.81,5.36,75.06,21.45,44.43,0.77,150.13,6.89,6.13,9.96,248.17,21.45,27.57,27.57,0,0,56.68,0.77,0,4.6,0,5.36,5.36,5.36,17.62,5.36,3.06
120,1.96,0,25.48,0,54.87,1.96,39.2,41.16,7.84,13.72,41.16,82.31,0,0,45.08,7.84,41.16,9.8,19.6,0,107.79,0,5.88,1.96,221.46,15.68,25.48,11.76,0,1.96,58.79,0,0,1.96,0,7.84,3.92,0,15.68,0,0
