stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,3.28,0,0.82,0,0,0,0,0
 36-46,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0.81,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,2.87,0.57,0,1.15,0,0,0,1.15,0,0,0,0,0,0,0,0,0.57,3.44,0,0,0,3.44,0,0,0,0,0,0,0,0.57
 60-70,0,0,0.98,1.96,0,0,0,0,12.76,0,0,0,0,0,0,0,0.98,0,0,8.83,4.91,0,0,0,11.78,0.98,0,0,0,0,0,0,0
 72-82,0,0,3.93,7.85,7.85,0,1.96,0,109.95,0,0,0.98,0,0,0,0,13.74,0,0,16.69,18.65,0.98,0,0,23.56,0.98,0,0.98,2.94,0,0.98,0.98,0
 84-94,0,0,14.87,4.25,7.43,3.19,6.37,0,94.52,1.06,1.06,0,1.06,0,6.37,0,8.5,2.12,0,15.93,9.56,3.19,0,0,80.71,4.25,0,1.06,22.3,1.06,2.12,0,1.06
 96-106,0,0,28.41,3.28,18.58,2.19,3.28,0,228.4,6.56,0,5.46,0,0,5.46,1.09,13.11,2.19,0,19.67,26.23,2.19,0,1.09,84.15,2.19,0,1.09,75.41,0,1.09,0,0
108-118,0,0,31.4,3.06,6.13,1.53,3.06,0,177.7,3.06,0,2.3,3.83,0.77,5.36,0,14.55,1.53,0,38.3,25.28,3.06,0,0,50.55,9.19,0,1.53,98.04,1.53,2.3,0,0.77
120,0,0,19.6,3.92,7.84,1.96,3.92,3.92,203.82,7.84,0,3.92,0,0,3.92,0,13.72,3.92,1.96,35.28,15.68,7.84,1.96,0,105.83,1.96,0,0,31.36,0,0,0,0
