stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0,3.28,0,0,1.64,3.28,0,0,0,0,0,1.64,0,0,0,0,0,0,1.64,0,0
 36-46,0,0,0.81,0,0,0.81,0,0.81,4.03,0.81,0,0,0,0,0,0.81,0,0,0,27.39,0,0,3.22,3.22,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0.57,0,0,5.74,0,3.44,3.44,0.57,0,0,0,0,0,1.15,0,0,0,164.68,0,0,2.3,12.62,0.57,0,0.57,0,0,0.57,0,0,0,1.15,0,0.57,0,0,1.72
 60-70,0,0,2.94,0.98,0,32.39,0,0.98,2.94,6.87,0,0,0,0,0,1.96,0,0,0,490.76,0,0.98,2.94,54.97,0.98,1.96,4.91,0,0,3.93,0,0,0,9.82,0,3.93,1.96,0,1.96
 72-82,0,0,10.8,8.83,0,108.96,0,3.93,14.72,50.06,0.98,0,1.96,0.98,0,7.85,0.98,0,0,851.1,0,2.94,13.74,199.28,2.94,2.94,9.82,0,0.98,8.83,0,0,0.98,14.72,0.98,12.76,6.87,1.96,3.93
 84-94,0,0,11.68,1.06,1.06,83.9,1.06,6.37,8.5,23.36,1.06,1.06,0,2.12,0,5.31,0,0,1.06,746.61,1.06,0,9.56,69.03,4.25,1.06,5.31,0,1.06,14.87,0,1.06,0,5.31,2.12,5.31,8.5,1.06,1.06
 96-106,0,1.09,40.44,13.11,3.28,87.43,3.28,7.65,4.37,45.9,4.37,0,2.19,6.56,3.28,8.74,5.46,4.37,0,626.2,2.19,3.28,5.46,101.63,0,4.37,14.21,1.09,0,28.41,1.09,0,1.09,8.74,0,5.46,9.84,3.28,3.28
108-118,0,1.53,20.68,8.43,1.53,55.92,0,4.6,6.13,33.7,6.13,0,0,3.83,4.6,5.36,0.77,5.36,0,544.6,0.77,1.53,6.13,115.66,2.3,1.53,16.85,0,0,16.09,0,0,0,2.3,2.3,4.6,3.06,1.53,1.53
120,0,1.96,23.52,1.96,1.96,31.36,0,1.96,5.88,29.4,5.88,0,0,3.92,0,1.96,1.96,1.96,0,540.9,0,1.96,1.96,107.79,3.92,5.88,3.92,0,0,5.88,0,0,0,0,0,3.92,0,1.96,1.96
