stage,epidermis,eye,glial,ionocyte,iridophores,mesenchyme,neural,notochord,olfactory,periderm,pronephros,spinal_cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,3,0
 24-34,0,2.46,0,0,0,0.82,3.28,0.82,0,1.64,0,1.64,0
 36-46,0,1.61,0,0.81,0,0.81,3.22,0,0,0.81,0.81,3.22,0
 48-58,0.57,0.57,0.57,0,0,0,2.3,0,0.57,0,0,1.72,0
 60-70,0,2.94,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,9.82,2.94,0,0,0,4.91,0,0,0,0,0,0
 84-94,0,7.43,1.06,0,1.06,0,2.12,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0
108-118,0,3.06,0.77,0,0.77,0.77,1.53,0,0,0,0,0,0.77
120,1.96,0,0,0,0,0,0,0,0,0,0,0,0
