stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,31,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,60.74,0,0,0,0,0,1.64,0,0.82,32.83,0,0,0,1.64,0,0,0.82,25.45,0,0,0,0.82,6.57,0,0,0.82,0
 36-46,0,0,14.5,0,5.64,0,0,0,2.42,0,0.81,56.4,0,0,0,4.83,0,0,0,17.72,0.81,0,0.81,1.61,3.22,0,0,0.81,0.81
 48-58,0,0,6.31,0,10.33,0.57,0,0,1.72,0,0,61.97,0,0,0,5.16,0,0.57,0.57,17.79,0,0.57,0,0,5.16,0,0,1.15,0
 60-70,0,0,5.89,0,10.8,0,0,0,2.94,0.98,0,69.69,0,0,0,4.91,0,0,0,15.7,0,0,0,0.98,2.94,0,0,0,0
 72-82,0.98,0.98,7.85,0,8.83,0,0,0.98,0.98,0,0,100.13,0,0,0,6.87,0,0,0,11.78,0,0.98,0,0,1.96,0,0.98,4.91,0
 84-94,1.06,2.12,7.43,0,5.31,0,0,0,1.06,1.06,0,133.82,0,0,0,2.12,0,0,0,6.37,0,1.06,0,2.12,3.19,1.06,0,2.12,0
 96-106,1.09,2.19,4.37,0,7.65,0,1.09,0,2.19,5.46,1.09,158.46,0,1.09,0,2.19,1.09,0,0,20.76,0,0,0,4.37,0,0,1.09,0,0
108-118,0,0.77,5.36,0.77,4.6,0.77,0,0,2.3,0.77,0,140.17,2.3,0,0.77,6.13,0,0,0.77,13.02,0,0,0,3.06,1.53,0,0,2.3,0
120,0,1.96,0,0,1.96,1.96,0,0,1.96,0,0,150.9,0,1.96,0,3.92,0,0,0,15.68,0,0,1.96,1.96,0,0,0,0,0
