stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,1,13,3,0,4,0,0,0,1,1,0,1,0,3,0,0,0,0,13,0,0,7,47,0,1,0,2,0,2,0,11,3,5,21,13,0,0,0,0,0
 24-34,0,0.82,1.64,12.31,4.93,0,32.01,9.03,0.82,0,0.82,0,0,4.93,0.82,37.76,0,0,9.85,0.82,13.95,2.46,0,13.13,110.82,0,8.21,4.93,0,0,7.39,0.82,0,14.78,14.78,11.49,31.19,0,0,1.64,0,0.82
 36-46,0,0,0.81,4.83,4.03,0,12.89,18.53,0,0,7.25,2.42,0.81,4.83,0.81,12.89,2.42,2.42,1.61,0.81,16.11,0.81,0,8.06,128.1,0,7.25,2.42,0,0,7.25,0,0,8.06,35.45,1.61,34.64,0,0,2.42,0,0
 48-58,0.57,0,0.57,5.74,6.89,0,39.59,20.66,0,1.72,21.23,4.02,1.72,4.02,1.15,7.46,0.57,1.15,4.59,1.15,47.63,2.3,1.15,13.2,158.37,0,6.89,5.16,1.15,0,9.18,0,0,10.33,58.53,0,39.02,0,0,3.44,0,2.87
 60-70,0,0.98,0,15.7,15.7,0,104.04,28.46,2.94,4.91,54.97,12.76,2.94,5.89,3.93,14.72,0.98,3.93,6.87,0,117.78,2.94,0.98,10.8,255.2,0,8.83,6.87,0,0,7.85,0,0,11.78,54.97,0,57.91,0,0.98,0.98,0,2.94
 72-82,0,8.83,0,24.54,43.19,1.96,165.9,24.54,0.98,6.87,72.64,50.06,5.89,4.91,14.72,36.32,0.98,1.96,32.39,0.98,173.75,2.94,2.94,19.63,216.95,0,20.61,16.69,0,1.96,9.82,0,0,27.49,29.45,0,30.43,1.96,3.93,11.78,0.98,3.93
 84-94,0,10.62,2.12,36.11,24.43,6.37,145.5,38.23,2.12,4.25,40.36,106.2,1.06,3.19,12.74,62.66,1.06,5.31,105.14,1.06,108.33,7.43,0,9.56,138.06,1.06,16.99,18.05,0,0,55.23,1.06,0,71.16,64.78,0,13.81,7.43,2.12,9.56,2.12,0
 96-106,0,15.3,0,48.09,41.53,4.37,137.7,53.55,4.37,4.37,48.09,143.16,0,9.84,21.86,84.15,6.56,10.93,167.21,2.19,116.93,10.93,4.37,16.39,204.36,2.19,32.79,27.32,0,3.28,86.33,1.09,0,79.78,76.5,0,5.46,4.37,4.37,13.11,3.28,3.28
108-118,0,7.66,0.77,41.36,16.85,25.28,115.66,41.36,9.19,6.13,42.89,106.47,0,4.6,16.09,52.85,8.43,6.13,137.11,5.36,110.3,6.89,2.3,20.68,145.53,0.77,30.64,29.11,0,0.77,72.77,0,0,53.62,47.49,0,5.36,11.49,0.77,9.19,1.53,2.3
120,0,3.92,0,45.08,11.76,3.92,84.27,23.52,5.88,1.96,29.4,56.83,0,3.92,27.44,25.48,11.76,9.8,64.67,1.96,96.03,3.92,1.96,29.4,117.59,1.96,9.8,17.64,0,1.96,43.12,0,1.96,39.2,11.76,0,0,1.96,1.96,0,1.96,0
