stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,66.09,0,0,9.44,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,2,5,0,0,0,0,38,0,0,0,0,0,0,0,4,0,0,28,0,0,0,0,0,0,4,0,1,10,6,0,0,0,0,1
 24-34,0,0,0.82,0.82,1.64,1.64,6.57,0,0,0,0,0.82,0,1.64,0.82,1.64,0,1.64,1.64,3.28,0,0.82,26.27,0,0,0,0,18.06,0,0,1.64,0,4.1,1.64,0,0,7.39,0,0.82
 36-46,0,0,0,0,0,0,4.83,0,0,0,0.81,0,0,0,0,0.81,0,0,0.81,8.86,0,1.61,10.47,0,0,0,0,8.06,0,0,0.81,0,0,3.22,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,4.59,0,0,3.44,0,0,0,0,0.57,0.57,0,0.57,0,6.31,0,0,9.18,0,0,0,0,14.35,0,0,0,0.57,0,2.3,0,0,1.72,0,1.15
 60-70,0,0,0,0,0.98,0,1.96,0.98,0,3.93,0.98,0,0,0.98,0,0.98,0,0,0,10.8,0,0.98,10.8,0,0,0,0,13.74,0,0,0.98,0.98,0,1.96,0,0,2.94,0,0
 72-82,0,0,0,0,1.96,0,3.93,0,0,4.91,1.96,0,0.98,0.98,0,0.98,0.98,0.98,1.96,13.74,0,0.98,10.8,0,0,0,0,10.8,0,0,0,0,0,0,0,0,4.91,0,0.98
 84-94,0,0,0,0,1.06,0,1.06,1.06,0,7.43,3.19,0,0,3.19,0,3.19,0,1.06,1.06,5.31,1.06,1.06,9.56,0,2.12,0,0,42.48,0,0,1.06,0,0,0,2.12,1.06,1.06,0,1.06
 96-106,0,0,0,0,7.65,1.09,10.93,1.09,1.09,6.56,8.74,0,1.09,5.46,2.19,2.19,1.09,13.11,0,10.93,3.28,1.09,14.21,1.09,2.19,0,1.09,33.88,0,0,4.37,1.09,0,0,0,0,3.28,0,0
108-118,0,0,0,0,1.53,0,4.6,2.3,0.77,4.6,14.55,0,0,8.43,0.77,0.77,0.77,9.96,0,9.19,0,3.06,10.72,0.77,0.77,0,0,22.21,0,0,3.83,0,0,0,0,0,1.53,0.77,0.77
120,0,0,0,0,5.88,1.96,5.88,0,0,7.84,13.72,0,0,1.96,1.96,3.92,1.96,13.72,0,5.88,0,1.96,15.68,0,0,0,0,11.76,0,0,1.96,0,0,0,0,1.96,7.84,0,0
