stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,1,2,1,7,1,0,0,0,0,1,1,0,58
 24-34,0,4.1,9.03,1.64,1.64,0.82,1.64,0.82,0,0,2.46,7.39,1.64,100.14,0,0.82,0.82,4.1,2.46,4.1,11.49,2.46,233.94
 36-46,0,0,8.06,0.81,2.42,0,0,0.81,0,0.81,2.42,7.25,3.22,48.34,0,0.81,0,4.83,0.81,0,12.89,1.61,240.9
 48-58,0,0,8.03,0,4.02,0,0,1.72,0.57,0,0.57,10.33,1.15,26.4,0,0,0,1.15,0,0,6.89,0,226.65
 60-70,0,0.98,9.82,0,0.98,0,0,0,0,0,0,4.91,0,13.74,0,0,0,0.98,0,0,0,0,141.34
 72-82,0,0,8.83,0.98,0,0,0,1.96,0,0,0,1.96,0,7.85,0,0,0,0,0,0,0.98,0,119.76
 84-94,0,0,6.37,0,0,0,0,2.12,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,66.91
 96-106,0,1.09,2.19,0,1.09,0,0,0,0,0,0,1.09,0,3.28,0,0,0,0,0,0,1.09,0,96.17
108-118,0,0,2.3,0.77,0,0.77,0,0,0,0.77,0,1.53,0,0.77,0,0,0.77,1.53,0,0,0,0,84.26
120,0,0,5.88,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,33.32
