stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,10.51,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,28.32,0,3.15,0,0,0,0,0,0,0,94.41,0,0,0,0,0,0,0,0,0,0,113.29,110.14,0,0,22.03,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,0,0,8,474,77,0,8,0,0,0,12,18,2,11,0,1,0,0,2,134,0,0,139,240,467,0,7,77,0,2,0,70,9,2,105,408,0,0,39,0,0
 24-34,0,0,0.82,3.28,366.92,9.03,0,28.73,0,2.46,15.6,68.13,0,0,24.63,0.82,1.64,0,2.46,0.82,381.7,4.93,0,250.36,458.04,207.68,1.64,8.21,0,0.82,27.09,0,1.64,9.03,1.64,75.52,607.43,0,0,152.68,0,0
 36-46,0.81,0,0,0,130.52,0.81,0,36.26,0,4.03,16.92,78.15,0.81,0,22.56,0.81,0,0,0.81,1.61,564.77,1.61,4.83,128.1,422.17,131.32,3.22,10.47,0,1.61,36.26,0,0,3.22,3.22,0,789.56,0,1.61,64.45,0,0.81
 48-58,0,0.57,0,0,48.2,0.57,0,88.37,0,4.02,29.84,75.17,0.57,0,17.79,0,0,1.72,0.57,0.57,732.18,0.57,10.33,114.76,440.11,62.54,1.15,17.79,0,2.87,8.03,0,0,1.72,1.15,0,777.51,0,3.44,51.07,0,2.87
 60-70,1.96,0,0.98,0,28.46,0,0,99.13,1.96,2.94,25.52,55.95,0.98,0,9.82,1.96,0,0.98,1.96,2.94,940.3,0.98,14.72,99.13,471.13,37.3,0,21.59,0,3.93,3.93,0,0,0,0.98,0,577.13,0.98,16.69,28.46,3.93,2.94
 72-82,0,0,2.94,0,34.36,3.93,0.98,136.45,0,1.96,28.47,78.53,12.76,0,19.63,0.98,0.98,2.94,3.93,0.98,1202.54,0,48.1,112.89,380.88,19.63,1.96,29.45,0,6.87,2.94,0,0,0,0.98,0,414.26,0,27.49,38.28,20.61,0.98
 84-94,2.12,0,1.06,1.06,46.73,3.19,0,167.8,1.06,0,23.36,57.35,18.05,0,12.74,3.19,4.25,4.25,2.12,2.12,865.56,0,48.85,74.34,271.88,35.05,0,37.17,0,2.12,4.25,0,0,6.37,1.06,0,247.45,4.25,39.3,42.48,25.49,0
 96-106,0,0,2.19,1.09,63.39,6.56,3.28,111.47,2.19,3.28,21.86,57.92,30.6,0,24.04,4.37,3.28,3.28,3.28,4.37,845.86,1.09,61.2,73.22,263.38,18.58,2.19,33.88,0,9.84,2.19,0,0,1.09,0,0,175.95,2.19,27.32,32.79,33.88,1.09
108-118,0,0,0,1.53,42.89,2.3,2.3,78.13,0,1.53,19.92,56.68,29.11,0,12.26,0.77,3.06,0.77,3.06,2.3,812.69,0.77,45.96,53.62,278.81,30.64,1.53,29.87,0,4.6,4.6,0,0,0.77,0.77,0,114.13,3.83,18.38,22.98,15.32,0
120,1.96,0,0,0,39.2,3.92,1.96,90.15,1.96,11.76,23.52,39.2,19.6,0,17.64,1.96,0,0,0,5.88,656.53,0,35.28,41.16,235.17,29.4,1.96,19.6,0,7.84,3.92,1.96,0,0,0,0,152.86,1.96,23.52,13.72,17.64,0
