stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,1,8,0,0,0,0,0
 24-34,0,0,3.28,0,22.16,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,1.64,87.01,0.82,0,0,0,0,0,24.63,0,0,0,0,0
 36-46,0,0,0,0.81,8.86,0,0,0,2.42,0,0,0,0.81,0,0,0,6.45,0,0.81,190.14,0,0.81,0,0,0,0,39.48,0,0,0,0,0
 48-58,0,0,0,0,37.3,0,0,0,6.31,0,0,0,0,0,0.57,0,9.75,0,2.87,301.82,1.72,0,1.15,0,0,0,32.71,0,0,0,0,0
 60-70,0,0,0.98,0,120.73,0,0,0,18.65,0,0.98,0,0.98,0.98,0.98,0,16.69,0,0.98,524.13,0.98,2.94,0.98,0,0,0,52.02,0,0,0,0,0.98
 72-82,0,0,0.98,2.94,166.88,0,0,0,49.08,0.98,0,0,0,0,0,0,16.69,0,0.98,457.45,0,0.98,1.96,0,0,0,33.38,0.98,0.98,0.98,0.98,0
 84-94,0,0,7.43,0,127.44,0,0,1.06,22.3,0,0,0,0,0,0,0,11.68,2.12,4.25,258.08,0,1.06,0,0,0,0,20.18,0,0,0,1.06,1.06
 96-106,0,0,5.46,2.19,104.91,1.09,0,0,38.25,0,0,1.09,0,0,0,0,10.93,1.09,2.19,206.55,0,0,3.28,0,0,0,16.39,0,0,0,1.09,0
108-118,0,0,4.6,6.89,75.06,0,0,0,29.11,1.53,0,0,0.77,0.77,0,0,11.49,0.77,0.77,214.47,0.77,0,0.77,0,3.83,0,10.72,0,0,0,0.77,0
120,0,0,3.92,19.6,66.63,0,1.96,0,27.44,0,0,0,0,0,0,0,1.96,0,0,221.46,0,0,3.92,0,1.96,0,15.68,0,0,3.92,0,0
