stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,52.71,882.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,18.39,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,7.89,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,4.93,2.46,1.64,0,0,2.46,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0.81,0,0,16.92,1.61,0.81,0,0,3.22,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,1.15,0,0.57,16.07,0.57,1.15,0,0,1.15,0,0,0.57,0,0,0
 60-70,0,0,0,0,1.96,0,0.98,0,0,0.98,0,1.96,0.98,0,0,2.94,0,0,17.67,3.93,1.96,0,0,2.94,0,0,2.94,0,0,0
 72-82,0,0,0.98,0,0.98,0.98,3.93,0,0.98,2.94,0,3.93,0,0,0,2.94,0.98,0,7.85,4.91,1.96,0,0,4.91,0,0,1.96,0,0,0
 84-94,0,0,3.19,0,3.19,0,3.19,2.12,0,4.25,0,3.19,0,1.06,0,4.25,0,0,4.25,0,3.19,0,0,9.56,0,0,1.06,2.12,1.06,0
 96-106,0,0,0,0,3.28,2.19,3.28,0,0,5.46,1.09,14.21,0,1.09,1.09,4.37,0,0,6.56,6.56,6.56,0,1.09,7.65,0,0,1.09,0,2.19,1.09
108-118,0,0,0,0,5.36,0,3.06,0,0.77,0.77,0,16.09,0,1.53,0,0.77,0,0,6.89,3.06,3.83,0,0,8.43,0,0,0,0,1.53,0
120,0,0,0,0,5.88,0,1.96,0,0,5.88,0,7.84,0,0,0,3.92,0,0,7.84,1.96,7.84,0,0,1.96,0,0,1.96,0,0,0
