stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,78.86,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,4.1,0,1.64,5.75,0,0,0,0,0,0,0,0,0,2.46,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,10.47,0,0.81,9.67,0,0,0,3.22,0,0,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0.57,0,0,0,0,1.15,0,0,0,0,0,9.18,0,2.3,9.75,0.57,0,0,5.74,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,5.89,0,0,0,1.96,0,0,0,8.83,0,0,0,0,0.98,32.39,0,1.96,17.67,1.96,0,0,5.89,0,0,0,0,0,1.96,0,0,1.96,0.98,2.94
 72-82,0,0,0,0,2.94,1.96,6.87,0,0,1.96,1.96,0.98,0,0.98,1.96,0,0.98,0,0,0,42.21,0,0.98,16.69,5.89,0.98,0,9.82,0,0,0,0,0,2.94,0.98,0,1.96,0.98,3.93
 84-94,0,0,0,0,3.19,2.12,5.31,0,1.06,0,2.12,2.12,0,0,9.56,0,2.12,0,0,2.12,30.8,1.06,5.31,8.5,1.06,0,0,23.36,0,0,0,0,0,1.06,0,0,8.5,0,1.06
 96-106,0,0,0,0,10.93,2.19,3.28,0,0,1.09,2.19,2.19,0,0,7.65,2.19,0,1.09,1.09,0,24.04,0,2.19,10.93,4.37,3.28,0,27.32,0,0,0,0,0,0,1.09,0,5.46,0,2.19
108-118,0,0,0,0,3.83,0.77,3.83,0,0,0,2.3,5.36,0,0.77,5.36,2.3,0.77,0.77,0,0,26.81,0,2.3,14.55,2.3,0.77,0,19.92,0,0,1.53,0.77,0,0,0,1.53,5.36,0,2.3
120,0,0,1.96,0,1.96,1.96,0,1.96,0,0,0,1.96,0,0,13.72,1.96,0,0,1.96,0,29.4,0,1.96,13.72,1.96,0,0,29.4,1.96,0,0,0,0,0,1.96,0,5.88,0,0
