stage,axial,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,4.93,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0,2.42,0.81,0,0,1.61,0,0
 48-58,0,0,0,0,0,1.72,0.57,0,0,0,1.72,0,0,0,7.46,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0.98,0.98,1.96,0,17.67,0,0,0,0,0,0
 72-82,0,0,0,0,0,6.87,0,0,0,0,2.94,0.98,1.96,0,11.78,0,0,0,1.96,0,0
 84-94,0,0,2.12,0,0,7.43,0,0,1.06,0,5.31,0,0,0,8.5,0,0,0,2.12,0,0
 96-106,0,0,0,0,0,5.46,0,1.09,2.19,1.09,3.28,2.19,0,0,4.37,0,0,1.09,0,0,1.09
108-118,0,0,0,0.77,0.77,6.89,0,0,1.53,0,12.26,4.6,0.77,0,8.43,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,3.92,0,5.88,11.76,0,0,7.84,0,0,0,0,0,0
