stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,glial,immune,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,1,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,10.67,0,0,0.82,0,0,0.82,0
 36-46,0,0,0,0,2.42,0,0,0,0,0.81,0,0,6.45,0.81,0,0,0,0,0.81,0
 48-58,0,0,0,0,4.59,0,1.15,0,0,0.57,0,0,6.89,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,2.94,0.98,0,0,0,1.96,0,0,10.8,0,0.98,0,0,0,0.98,0
 72-82,0,0,0,0.98,2.94,0,0.98,0,0,0.98,0,0.98,9.82,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,1.06,0,0,1.06,0,1.06,4.25,0,0,3.19,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,0,0,1.09,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0,1.53,0,0,0,2.3,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,1.96,1.96,0,5.88,1.96,0,7.84,0,0,0,0,0,0,0
