stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,97.56,0,0,0,0,0,0,0,0,28.32,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,10,1,0,1,0,0,1,41,0,3,0,0,0,0,0,0,27,0,2,0,0,0,4,0,1,1,14,0,0,0,0,0
 24-34,0,0,2.46,0,1.64,0,0,6.57,0,0,1.64,1.64,0,3.28,0.82,0,0,3.28,0,0.82,155.96,0,5.75,0.82,0,0,9.85,0,0,0,40.22,0,0,2.46,0,0
 36-46,0,0,0.81,0,0,0,0,16.11,0.81,0.81,0,1.61,0,0.81,1.61,0.81,0.81,4.83,0,0,301.32,0,4.83,1.61,0,0,1.61,0,0,0,58.01,0,0,0.81,0,0
 48-58,0,0,0.57,0,1.15,0.57,0,104.43,0,5.74,0,5.74,0,2.87,1.72,1.15,2.87,4.59,0,0,424.04,0,4.02,1.72,0,0,1.72,0,0.57,0,67.14,0,0,0,0,0
 60-70,0,0,0.98,0,0.98,0,0,286.6,0.98,10.8,0.98,4.91,0,0.98,0,0,4.91,10.8,0,0,608.54,0,2.94,1.96,0,0,1.96,0,0,0,86.37,0,0,0.98,0,0.98
 72-82,0,0,6.87,0,7.85,0.98,0.98,241.49,0,19.63,10.8,2.94,0.98,0.98,1.96,0,9.82,8.83,0.98,1.96,464.33,0,3.93,1.96,0,0.98,3.93,0,0.98,0,46.14,0.98,0,3.93,0.98,0
 84-94,0,0,6.37,0,8.5,3.19,0,184.79,1.06,14.87,14.87,8.5,1.06,3.19,3.19,4.25,6.37,9.56,0,0,227.28,0,4.25,2.12,0,0,7.43,0,0,0,23.36,1.06,1.06,5.31,1.06,0
 96-106,0,0,7.65,0,4.37,4.37,0,139.88,2.19,4.37,15.3,1.09,0,1.09,3.28,1.09,12.02,14.21,0,1.09,195.62,0,3.28,4.37,0,0,5.46,0,3.28,0,13.11,2.19,0,0,0,0
108-118,0,0,1.53,0,9.96,0.77,0.77,79.66,0,9.96,19.15,0,0.77,0.77,1.53,0.77,5.36,8.43,0,0.77,217.53,0,3.83,2.3,0,0,8.43,0,0,0,7.66,0.77,0,3.06,0,0.77
120,0,0,1.96,0,3.92,0,0,60.75,0,17.64,9.8,0,0,0,0,0,11.76,3.92,0,1.96,227.34,1.96,5.88,9.8,0,0,1.96,0,1.96,0,7.84,1.96,0,1.96,0,1.96
