stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,5,15,15,0,8,0,0,0,10,3,1,0,1,0,0,1,14,0,0,15,194,3,1,0,6,0,0,26,0,1,19,82,0,0,0,0
 24-34,0.82,0.82,1.64,1.64,0,15.6,0,0.82,0,5.75,4.93,0,0,0,0,0,0,18.06,0,0.82,12.31,109.99,0,2.46,1.64,0,0,0.82,0,1.64,3.28,4.93,32.83,0,0,0,0
 36-46,0,0,0,0,0,37.06,0,0,0,5.64,2.42,0,0,0,0,0,0,16.11,0,0,8.06,118.43,0,6.45,0.81,0,0,0,0,0,1.61,0,46.73,0,0,0,0
 48-58,0,0,1.15,0,0,48.77,0,0.57,0.57,9.75,2.3,2.3,0,0,0,1.15,0,18.36,0,1.15,6.31,76.32,0,1.15,0.57,0,0,0.57,0,1.15,2.3,0,21.8,0,0,0,2.87
 60-70,0,0,1.96,0.98,0,31.41,0,0,0,9.82,3.93,1.96,0,0,0,1.96,0,16.69,0,0.98,0.98,41.22,0.98,1.96,0,0,0,0,0,0,2.94,0,8.83,0.98,0,0,0
 72-82,0.98,0,2.94,0.98,2.94,56.94,0,1.96,1.96,27.49,19.63,0,0,0.98,0,0,0,35.34,0.98,1.96,6.87,121.73,0,4.91,0.98,0,0,1.96,0,0,0.98,0,15.71,2.94,0.98,2.94,0.98
 84-94,3.19,0,6.37,3.19,2.12,26.55,0,0,1.06,19.12,37.17,4.25,1.06,1.06,0,0,0,16.99,0,2.12,4.25,72.22,0,7.43,3.19,0,1.06,0,0,1.06,1.06,0,5.31,0,2.12,3.19,0
 96-106,7.65,0,4.37,1.09,0,32.79,1.09,1.09,2.19,17.49,61.2,0,0,0,0,4.37,0,25.14,1.09,3.28,0,53.55,0,1.09,1.09,0,0,1.09,0,1.09,3.28,0,4.37,2.19,0,3.28,0
108-118,3.83,0,0.77,0.77,2.3,23.74,0,2.3,2.3,16.85,30.64,0.77,0,0.77,0.77,2.3,0,24.51,0.77,3.06,6.13,65.87,0,6.13,3.83,0,0.77,0,0,0,3.06,0,5.36,0,1.53,0.77,0.77
120,0,0,1.96,1.96,0,29.4,1.96,0,1.96,21.56,35.28,0,0,1.96,0,5.88,0,27.44,0,0,3.92,76.43,0,0,7.84,0,0,1.96,0,0,1.96,0,3.92,1.96,1.96,0,0
