stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,34.17,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,1,0,1,5,0,0,0,0
 24-34,0,0,0,2.46,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0.82,64.03,1.64,0,0,0,0.82,0,0,0,29.55,0,0,1.64,0
 36-46,0,0.81,0,0,0,0,4.83,0,0.81,0,2.42,0,0,0,0,0,0,0,2.42,0,0,0,171.61,1.61,0,0,0,0.81,0,0,0,49.15,0,0,0.81,0
 48-58,0,0,0,1.15,0,0,17.21,0,0.57,0,2.87,0,0,0.57,0,0,0,0,2.3,2.87,0,0.57,192.22,0.57,0.57,0,0,0,0,0,0,30.99,0,0.57,1.15,0
 60-70,0,0,0,0,0,0,73.61,0.98,0.98,0,1.96,0,0,0,0,0,0,0,0.98,2.94,0,0,247.34,1.96,0.98,0,0,0,0,0,0,45.15,0,0,0.98,0
 72-82,0,0,0,0.98,0,0,109.95,0,0.98,0.98,10.8,0.98,0,0,0,0.98,0.98,0,0,8.83,0.98,0.98,243.45,6.87,0.98,0,0.98,0.98,0,0,0,25.52,0,0,1.96,0
 84-94,0,1.06,0,2.12,1.06,0,58.41,0,1.06,0,12.74,0,0,0,1.06,0,0,0,0,6.37,0,1.06,124.26,2.12,2.12,0,0,3.19,0,0,0,8.5,0,1.06,5.31,0
 96-106,0,0,0,2.19,1.09,1.09,52.46,0,0,0,6.56,0,0,1.09,0,0,0,1.09,1.09,4.37,0,0,132.23,2.19,2.19,0,0,3.28,0,0,0,6.56,1.09,0,2.19,0
108-118,0,0.77,0,2.3,2.3,0,43.66,0,0.77,0,6.89,0,0,0,0,0,0,0,1.53,4.6,0,0.77,134.81,0.77,3.06,0,0,0,0,0,0,4.6,0.77,0,2.3,0.77
120,0,0,0,1.96,1.96,0,58.79,0,1.96,0,15.68,0,0,1.96,0,0,0,0,3.92,1.96,0,0,146.98,3.92,1.96,0,0,0,0,0,0,7.84,0,0,1.96,0
