stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,42.06,0,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,12.59,0,3.15,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,151.05,3.15,0,0,25.18,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,43,1,2,7,1,0,0,1,1,7,0,0,0,1
 24-34,0,0,1.64,6.57,0,0,9.03,0,0,0,0.82,1.64,0,0,0,0,0.82,0.82,0,2.46,0,0,41.04,0.82,1.64,9.85,0,0,4.1,0,0,6.57,0,0,2.46,0
 36-46,0,0.81,0,3.22,0,0,12.89,0,0,0,0.81,0.81,0,0,0,0.81,0,0,0,1.61,0,0,24.98,0,4.03,4.83,0,0,2.42,0,0,3.22,0,0,0.81,0
 48-58,0,0,1.72,4.59,0,0,13.77,0,0,0,0,5.16,0,0.57,0,0,0,1.15,0,4.02,0,0,12.05,0.57,4.02,2.87,0,0,0,0,0,1.72,0,0,0.57,0
 60-70,0,0,0,1.96,0,0,10.8,0.98,0,0.98,5.89,3.93,0,0.98,0,0,0.98,0.98,0.98,3.93,0,0,19.63,0,2.94,0.98,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,2.94,0.98,0,0,0.98,10.8,0,0.98,0,0.98,4.91,0,5.89,0,0,0.98,0.98,0,7.85,0,0,24.54,0,10.8,2.94,0,0,0.98,0,0,1.96,0,0,0.98,0
 84-94,0,3.19,0,4.25,1.06,0,2.12,0,0,0,2.12,4.25,0,2.12,0,0,0,1.06,1.06,6.37,1.06,0,14.87,0,3.19,3.19,0,0,3.19,1.06,0,1.06,1.06,0,1.06,0
 96-106,0,3.28,0,2.19,1.09,0,16.39,0,0,0,1.09,6.56,0,4.37,0,0,0,0,0,0,0,1.09,6.56,1.09,9.84,3.28,0,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0,2.3,0,0.77,13.79,0,1.53,0,2.3,5.36,0,5.36,0.77,0.77,0.77,0,0,2.3,0,0,12.26,0,3.83,5.36,0,0.77,0.77,0,0,0,0,0.77,0.77,0
120,0,1.96,0,1.96,0,0,7.84,0,0,0,1.96,1.96,0,7.84,0,0,0,1.96,0,3.92,0,0,13.72,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0
