stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,1,0,0,0,0,0,0,0,0,0,0,4,0,2,5,0,0,0,0,2,0,5,1,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0,0,2.46,11.49,0,0,0,0,0,0,0.82,4.1,0,0,0.82,0,0
 36-46,0.81,0,0,0,0,0,0.81,0,0,0,0,0,1.61,0.81,0,23.36,0.81,2.42,0,0,0,0,0,7.25,0,0,0,0,0
 48-58,0.57,0,0,5.16,0,0,0,0,0,0,0,0.57,4.59,0,0.57,13.2,0,1.72,0,0,0,0,0,5.74,0,0,0.57,0,0
 60-70,0,0,0,8.83,0,0,0.98,0,0,0,0,0,0.98,0,0,17.67,0,0.98,0,0,0,0.98,0,4.91,0,0,0,0,0
 72-82,0,0.98,0,13.74,0.98,0.98,7.85,0.98,0,0,0,1.96,10.8,0,0,25.52,0,1.96,0,0,0,0,0,1.96,0,0,3.93,0,0
 84-94,0,1.06,0,5.31,0,0,4.25,0,1.06,0,0,0,0,1.06,0,6.37,0,1.06,1.06,3.19,0,0,0,0,1.06,3.19,0,0,0
 96-106,2.19,1.09,0,2.19,0,1.09,2.19,0,0,0,1.09,0,5.46,1.09,0,4.37,0,2.19,0,1.09,0,0,0,1.09,1.09,0,2.19,0,0
108-118,2.3,0.77,0,3.06,0,0.77,0.77,0.77,0,0.77,0,0.77,2.3,0,0,10.72,0,0,1.53,0.77,0,0,0,0.77,3.06,0,0.77,0.77,0.77
120,1.96,0,1.96,3.92,0,0,0,1.96,0,0,0,0,3.92,0,0,13.72,0,0,0,0,0,0,0,0,0,0,3.92,0,0
