stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,1,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,114,0,2,0,0,0,1,1,1,0,0,86,0,0,0,0
 24-34,0,0,0.82,0.82,2.46,0.82,0,9.03,0,0,0,4.1,0,0,0,0,0.82,0,0,2.46,0,0,0,343.94,0,3.28,0.82,0,0,0.82,0,0,0,0.82,92.76,0,0,3.28,0
 36-46,0,0,0,0,1.61,0,0,13.7,0,0,0,13.7,0,0.81,0,0,5.64,0,0,4.03,0,0,2.42,918.46,1.61,5.64,0.81,0,0,1.61,0,0,0,0,220.75,0,0,1.61,0
 48-58,0,0,0,0,1.72,0,0,75.74,0,1.15,0,27.54,0,1.72,0.57,0.57,7.46,0,0.57,10.33,1.72,0,2.87,1326.64,0.57,1.15,0.57,0,0,3.44,0,0,0,0,285.75,0,0,6.89,2.3
 60-70,0,0,0,0,9.82,0,0,398.5,0,0,0,39.26,0,2.94,0,1.96,10.8,0,0.98,19.63,0.98,0,0,2319.34,2.94,0.98,0.98,0,0,2.94,0,0,0.98,0,289.55,0,0,5.89,0.98
 72-82,0,0,0.98,0,10.8,5.89,0,636.12,0,0.98,2.94,70.68,3.93,3.93,1.96,0,17.67,0.98,0,31.41,0.98,0.98,0.98,2024.19,0,1.96,2.94,0,0,1.96,0,0,0,0,148.23,0.98,0.98,14.72,3.93
 84-94,0,0,0,0,13.81,3.19,0,389.77,0,0,0,45.67,1.06,1.06,1.06,4.25,10.62,0,1.06,31.86,0,2.12,2.12,967.52,0,2.12,2.12,0,0,7.43,0,0,1.06,0,89.21,1.06,1.06,12.74,1.06
 96-106,0,0,0,0,10.93,7.65,0,292.88,1.09,0,1.09,38.25,3.28,1.09,2.19,0,21.86,2.19,0,21.86,1.09,1.09,1.09,722.37,0,2.19,4.37,0,2.19,3.28,0,0,0,0,48.09,1.09,1.09,10.93,0
108-118,0,0,0.77,0,14.55,0,0.77,212.17,2.3,0,1.53,29.87,2.3,1.53,0,0,13.02,1.53,0.77,26.04,0,0,3.06,693.2,0.77,3.06,0,0,0.77,0.77,0,0.77,0,0,21.45,1.53,0.77,14.55,0.77
120,0,0,0,0,9.8,3.92,1.96,156.78,0,1.96,0,31.36,1.96,0,1.96,0,1.96,0,0,13.72,0,1.96,3.92,799.59,0,1.96,0,1.96,1.96,3.92,0,1.96,0,0,39.2,0,1.96,9.8,0
