stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,26.36,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,30.65,551.67,0,0,0,0,0,0,0,6.13,0,0,0,0,0,24.52,6.13,0,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,13.14,10.51,7.89,0,0,15.77,0,0,0,13.14,0,0,0,0,0,336.48,10.51,0,0,120.92,0,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,31.47,0,0,0,3.15,0,0,0,0,0,286.37,3.15,0,0,66.09,3.15,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,52,1,5,0,0,0,0,4,0,0,0,4,59,2,0,3,3,13,0,10,3,2,20,0,0,0
 24-34,0,0,0,4.93,0,2.46,0,0.82,0.82,0,0,0,2.46,0.82,1.64,26.27,0,0,0.82,0,52.53,0,0,0,0.82,4.1,0,0,0
 36-46,0,0,0,1.61,0,6.45,0.81,0,0.81,0,0,0,0,0,0,16.11,0,0,0,0,17.72,0,0,0,0,4.03,0,0,0.81
 48-58,0,0,0,1.15,0,17.21,0.57,0,0,0,0,0,2.3,0,0.57,9.75,0,0,0,0,4.02,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,2.94,0,14.72,0,0,0.98,0,0,0,0.98,0,0,5.89,0,0.98,0,0,4.91,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,1.96,0,0,2.94,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,2.12,0,0,2.12,0,0,0,2.12,0,0,1.06,0,0,0,0,4.25,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,1.09,0,1.09,0,0,0,2.19,0,1.09,2.19,0,0,0,0,3.28,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,4.6,0,0,0,0,0,0.77,2.3,0,0,0,0,0.77,0,0,6.13,0,0,0.77,0,0,0.77,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
