stage,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,18.06,0,0,0
 36-46,0,0,70.09,0.81,0,0.81,0,0,0,0,78.96,0,1.61,0
 48-58,0,0,102.14,0,0.57,0,0,0,0,0,62.54,0,0.57,0
 60-70,0,0,88.34,0,0,0,0,0,0,0,76.56,0,0.98,0.98
 72-82,0,0,49.08,0,0.98,0,2.94,0,0.98,0.98,47.12,0,0,0
 84-94,1.06,0,39.3,1.06,1.06,0,2.12,0,0,0,42.48,0,1.06,0
 96-106,0,0,28.41,0,0,0,0,1.09,0,0,28.41,0,0,0
108-118,1.53,0.77,30.64,0,0.77,0.77,0,0,0,0,37.53,0.77,0,0
120,1.96,0,25.48,0,0,0,0,0,0,0,37.24,0,0,0
