stage,epidermis,eye,fin.mesenchyme,glial,lateral.line,melanocytes,mesenchyme,mural.cell,neural,periderm,pronephros,spinal.cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,4.1,0.82,0,0.82,0
 36-46,0,1.61,0,0,0,0,0,0,1.61,0,0,4.03,0.81
 48-58,0,1.15,0.57,0,0,0,1.72,0,4.02,0,0,0.57,0
 60-70,0,4.91,0,1.96,0,0,0,0,2.94,0,0.98,0,0
 72-82,0,0.98,0,0,0.98,0,1.96,0,4.91,0,0,0.98,0
 84-94,0,0,0,0,0,0,2.12,0,4.25,0,0,0,0
 96-106,0,2.19,0,0,0,0,1.09,0,1.09,1.09,0,0,0
108-118,0,0,0,0,0,0.77,0,0,2.3,0,0,0,0
120,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0
