stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,21,1,0,0,0,2,0,0,2,0,0,0,5,0,1,1,0,0,0,0,0,1,1,2,2,0,0,0,0
 24-34,0.82,1.64,0.82,0,0,0,0,1.64,0,0,0,0.82,0,10.67,0,5.75,11.49,2.46,0,0,0,0.82,0,0,0,2.46,0,4.1,0,0
 36-46,0,1.61,0,3.22,0.81,0,0,2.42,0,0,0,0,0,16.11,0.81,4.03,8.06,1.61,0,0.81,0,2.42,0,0,0,4.83,0,3.22,0,0
 48-58,0,1.72,0,3.44,1.15,1.15,0.57,1.15,0,0,0,0.57,0,16.07,1.15,2.87,5.74,0,0,0.57,0.57,1.72,0,0,0,4.02,0,1.15,0,0
 60-70,0,0,0,3.93,0.98,1.96,0,0.98,0,0,0,0.98,0,17.67,1.96,0.98,3.93,0,0,0,0,0.98,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,3.93,0,0.98,0,0,0,0,0,0,0,21.6,0.98,0,4.91,0,0.98,0,0,0.98,0,0,0,0,0,3.93,1.96,0
 84-94,0,0,0,4.25,0,0,0,2.12,1.06,0,0,1.06,0,9.56,1.06,1.06,2.12,0,0,0,0,1.06,0,0,0,0,0,2.12,1.06,1.06
 96-106,0,0,0,3.28,1.09,1.09,0,1.09,0,0,1.09,0,1.09,9.84,3.28,0,4.37,1.09,0,0,0,3.28,0,0,0,0,0,4.37,0,0
108-118,0,1.53,0,5.36,3.06,0.77,0,0,0.77,0.77,1.53,0,0,14.55,2.3,1.53,6.89,0,0.77,0.77,0,1.53,0,0,0,0,0.77,2.3,0.77,0
120,0,1.96,0,1.96,0,0,0,0,3.92,0,0,0,0,5.88,0,0,3.92,0,1.96,0,0,1.96,0,0,0,1.96,1.96,5.88,3.92,0
