stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,0,18.4,0,0,0,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,78.86,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,12.59,0,0,0,22.03,0,0,0,0,0,56.65,0,0,0,0,0,0,0,0,0,0,0,566.45,12.59,0,0,166.79,0,0,3.15,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,7,93,13,0,34,0,0,0,18,5,3,1,2,0,0,0,0,3,101,0,0,55,1280,1,0,2,8,0,1,2,75,2,4,53,209,0,3,0,1
 24-34,0,0,0,10.67,50.89,2.46,0,76.34,0,0.82,0,18.06,9.03,0,1.64,4.93,0.82,3.28,0.82,4.93,4.1,192.08,0,0.82,55,1491.5,1.64,4.93,1.64,0,0,3.28,0,0.82,1.64,0,16.42,286.48,0,12.31,0,4.1
 36-46,0,0,0,0,7.25,0.81,0,244.12,0,0,0,23.36,4.83,0,1.61,5.64,0,1.61,1.61,3.22,7.25,142.6,0,0.81,23.36,922.49,0,0.81,3.22,0,0.81,1.61,0.81,0,1.61,0,0.81,290.85,0.81,17.72,0,4.03
 48-58,0,0,0.57,0,4.59,0,0,730.45,0,0.57,3.44,49.92,4.59,0,1.15,5.16,0,2.3,0,1.72,3.44,129.11,0.57,1.15,17.21,405.68,1.15,0,1.72,0,0.57,5.16,0,0,2.3,0.57,0,84.92,1.72,13.2,0.57,11.48
 60-70,0,0,0.98,0,7.85,0,0,850.98,0,0.98,2.94,56.93,5.89,0.98,0,10.8,0,1.96,0.98,6.87,4.91,114.84,0,0,7.85,137.41,0,1.96,5.89,0,1.96,0.98,0,0,1.96,0,0,26.5,2.94,7.85,0.98,9.82
 72-82,0,0,10.8,0,10.8,0.98,0,539.91,0.98,0,2.94,70.68,8.83,0,1.96,12.76,0,0,3.93,4.91,3.93,187.5,0.98,0.98,11.78,105.04,0,1.96,5.89,0,0.98,2.94,0,0,0.98,0,0,15.71,3.93,14.72,2.94,8.83
 84-94,0,0,3.19,0,7.43,2.12,0,502.34,0,0,3.19,54.16,20.18,0,2.12,20.18,0,3.19,2.12,9.56,4.25,114.7,0,0,7.43,50.98,0,1.06,8.5,0,0,2.12,0,0,1.06,0,0,8.5,4.25,12.74,7.43,7.43
 96-106,0,0,6.56,0,16.39,7.65,1.09,300.53,1.09,2.19,2.19,64.48,28.41,0,0,38.25,0,3.28,1.09,4.37,6.56,113.66,1.09,4.37,5.46,68.85,0,0,7.65,0,0,10.93,0,0,0,0,0,3.28,3.28,9.84,1.09,12.02
108-118,0,0,3.83,0.77,9.19,0.77,0.77,262.73,0.77,0.77,1.53,57.45,29.87,0,0.77,23.74,0.77,3.83,0,9.96,11.49,109.53,0,0.77,7.66,67.4,0,0.77,10.72,0,2.3,3.06,0,0,0.77,0,0,3.83,1.53,9.19,1.53,9.19
120,0,0,1.96,0,11.76,1.96,1.96,168.54,1.96,1.96,3.92,47.03,37.24,0,0,25.48,0,0,1.96,1.96,0,52.91,0,3.92,1.96,68.59,0,1.96,5.88,0,1.96,3.92,0,0,3.92,0,0,1.96,0,1.96,1.96,3.92
