stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,422.94,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,24.52,12.26,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,5.26,13.14,0,0,0,31.54,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,283.9,23.66,0,0,139.32,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,22.03,0,3.15,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.52,15.73,0,0,132.17,0,0,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,6,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,3,0,3,47,0,0,0,2,0,1,0,7,1,0,2,16,0,0,0,0
 24-34,0,0,0,0.82,0,0,9.03,0.82,0,0,4.93,0,0,0,0,0.82,0,0,0,6.57,0,3.28,86.19,0,0.82,4.1,0,0,4.93,0,0,0,0,0.82,21.34,0,0,2.46,0
 36-46,0,0,0,2.42,0,0,35.45,0,0,0,3.22,0,0,0.81,0,0,0.81,0,0,6.45,0,3.22,96.68,0,0.81,0,0,0,3.22,0,0,0,0,0,26.59,0,0,1.61,0
 48-58,0,0,0,0.57,0,0,32.71,0,0,0,1.15,0.57,0,0.57,0,0,0.57,0,0.57,8.61,0.57,1.15,52.22,0,0,0.57,0,0,0.57,0,0,0,0,0,9.75,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,35.33,0,0,0,7.85,0,0,0,0.98,0,0,0,0,16.69,0.98,0.98,53,0,1.96,0,0,0,0.98,0,0,0,0.98,0,8.83,0,0,0,0
 72-82,0,0,0,2.94,0,0.98,21.6,0,0.98,0.98,4.91,0.98,0,0,0,0,0,0,0,9.82,0.98,1.96,29.45,0,0,0,0,0.98,0.98,0,0,0,0,0,3.93,0.98,0.98,1.96,0
 84-94,0,0,0,4.25,2.12,0,25.49,0,1.06,1.06,2.12,2.12,0,0,2.12,0,0,0,0,9.56,2.12,1.06,28.68,0,1.06,1.06,0,0,5.31,0,0,0,0,0,3.19,0,0,3.19,1.06
 96-106,0,0,0,5.46,1.09,0,14.21,0,0,0,4.37,1.09,0,0,1.09,0,2.19,1.09,0,8.74,0,2.19,25.14,0,3.28,0,0,1.09,6.56,0,0,0,0,0,1.09,1.09,1.09,1.09,0
108-118,0,0,0,0.77,0.77,0,11.49,0.77,0.77,0.77,1.53,0.77,0.77,0,1.53,0,0,0.77,0,10.72,0.77,0,31.4,0,0,1.53,0,0,1.53,0,0,0.77,0,0,2.3,0.77,0.77,2.3,2.3
120,0,0,0,5.88,1.96,0,11.76,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0,5.88,0,1.96,31.36,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0
