stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1120.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,355.52,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,18.4,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,194.52,5.26,0,0,63.09,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,12.59,0,3.15,0,15.73,0,0,0,0,0,31.47,0,0,0,0,3.15,0,0,0,0,0,251.76,3.15,0,0,97.56,0,6.29,3.15,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,3,14,7,0,6,0,0,0,4,2,2,1,0,0,0,0,0,4,0,0,4,68,0,0,2,4,0,2,0,5,3,2,19,36,0,0,3,0,0
 24-34,0,0,1.64,0.82,8.21,0.82,0,13.13,0,0,0.82,2.46,0,0,0.82,0,0,0,0,0,19.7,0,0.82,5.75,153.5,4.1,0.82,3.28,0,0,4.93,0,0,1.64,0.82,2.46,36.12,0,0,4.93,0,1.64
 36-46,0,0,0,0,2.42,0,0,25.78,0,0.81,1.61,8.06,0.81,0,2.42,0.81,0,0.81,0.81,1.61,12.89,0.81,0,4.03,191.75,2.42,1.61,0.81,0,0,4.03,0,0,1.61,0,0,47.53,0,0,3.22,0,0
 48-58,0,0,0,0,2.3,0,0,45.9,0,0.57,2.87,21.23,0,0,1.72,0,0.57,0.57,0,0.57,22.38,0.57,0.57,5.16,152.06,0,0.57,0.57,0,0,2.3,0,0,0.57,0.57,0,30.99,0,0,1.72,0,0
 60-70,0,0,0,0.98,0,0,0,56.93,1.96,0,1.96,23.56,0,0,0.98,0.98,0.98,0,0.98,0,42.21,0.98,0.98,1.96,125.63,0,0.98,0.98,0,0,2.94,0,0,0.98,0,0,16.69,0,0.98,2.94,0,0
 72-82,0,0,0,0,6.87,0.98,0.98,59.88,0.98,1.96,1.96,21.6,1.96,0,0.98,1.96,0,0,0,0,47.12,0,0.98,3.93,129.58,0,0.98,0.98,0,0.98,3.93,0,0,0,0,0,18.65,0,1.96,3.93,4.91,0
 84-94,0,0,0,0,7.43,1.06,0,40.36,1.06,0,1.06,11.68,1.06,0,1.06,3.19,0,1.06,1.06,0,25.49,0,1.06,0,54.16,0,1.06,3.19,0,0,6.37,0,0,1.06,0,0,7.43,3.19,3.19,3.19,5.31,2.12
 96-106,0,0,1.09,0,5.46,1.09,0,20.76,1.09,2.19,3.28,25.14,3.28,0,0,2.19,0,1.09,0,1.09,15.3,0,1.09,5.46,73.22,0,1.09,0,0,0,3.28,0,0,0,0,0,5.46,0,0,3.28,0,0
108-118,0,0,0.77,0,6.13,1.53,1.53,18.38,0,2.3,0.77,16.85,2.3,0,0.77,1.53,3.06,0.77,0.77,0,18.38,0,0,3.83,61.28,0,0.77,3.06,0,0,3.06,0,0,0.77,0,0,2.3,0,0.77,5.36,1.53,0.77
120,0,0,0,0,7.84,1.96,0,25.48,0,1.96,0,7.84,1.96,0,0,3.92,0,0,0,0,17.64,0,0,1.96,45.08,0,0,3.92,0,0,9.8,0,0,1.96,0,0,1.96,1.96,1.96,0,0,0
