stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,3,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,32,0,3,1,0,0,0,0,44,0,0,0,0,0
 24-34,0,1.64,0,1.64,0,1.64,0,0,1.64,0,0,0,0,19.7,2.46,0,0,0.82,295.51,0,15.6,0,0,0.82,0,0,82.91,0,0,0.82,0,0.82
 36-46,0,0.81,0,1.61,0,11.28,0.81,0,2.42,0,0,0,0.81,37.06,4.03,0,0,1.61,712.21,0,16.11,0,0,1.61,0,0,138.58,0,0,0,0,0
 48-58,0,0,0,1.15,0,42.46,0,1.15,4.02,0,0,0,0,35,6.89,0,0.57,1.15,815.38,0,13.2,0.57,0,1.15,0,0,123.94,0,0,1.72,0,0.57
 60-70,0,0.98,0,0.98,0,103.06,0,0,3.93,0,0.98,0,0,14.72,7.85,0,0,0.98,1017.84,0,12.76,1.96,0,2.94,0,0,127.6,0,0,0.98,0,0
 72-82,0,0,0,4.91,0.98,102.09,0,0.98,10.8,0,0,1.96,0.98,22.58,13.74,0,0.98,2.94,674.4,0.98,36.32,1.96,0,0,0,0,48.1,2.94,0,0,0,0.98
 84-94,0,0,0,9.56,0,63.72,1.06,0,13.81,0,2.12,0,1.06,49.92,8.5,0,1.06,1.06,283.56,0,22.3,2.12,0,1.06,0,0,24.43,0,0,1.06,1.06,0
 96-106,0,0,0,18.58,0,52.46,0,1.09,13.11,0,1.09,1.09,1.09,36.06,7.65,1.09,1.09,0,215.29,0,38.25,2.19,0,0,0,1.09,14.21,0,2.19,0,0,1.09
108-118,0,0.77,0,9.96,1.53,40.6,0,0,6.13,3.06,0,1.53,0,47.49,5.36,0,0,0,291.07,0,19.92,2.3,0,0.77,0,0.77,3.83,0.77,0.77,0.77,0,0
120,0,1.96,0,3.92,0,39.2,1.96,0,3.92,0,0,0,0,23.52,9.8,0,1.96,0,276.33,0,17.64,0,0,0,0,0,1.96,0,0,0,0,0
