stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767.58,0,0,0,36.8,2.63,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,468.9,3.15,0,0,44.06,0,3.15,0,6.29,0,0,0
 14-21,1,0,0,6,0,0,1,0,0,0,12,0,0,0,0,0,3,0,1,2,188,0,0,0,0,0,1,4,161,0,0,0
 24-34,0,0,0,4.1,0.82,0,12.31,0,0.82,0,4.93,0,0,0,0,0,9.85,0,4.93,3.28,394.01,0,1.64,1.64,0,3.28,0.82,0,98.5,0,0.82,0.82
 36-46,0,0,0,4.83,0,0,38.67,0,0,0,1.61,0,0,0.81,0,0,5.64,0.81,7.25,0.81,430.23,0,4.03,0.81,0,3.22,0,0,85.4,0,0,0
 48-58,0,0,0,3.44,0,0,36.15,0,0,0,7.46,0,0,0.57,0.57,0,5.74,0,10.33,1.15,231.24,0,1.15,1.72,0,1.15,0,0,61.97,0,1.15,0.57
 60-70,0,0,0,0,0.98,0,10.8,0,0,0,2.94,0,0,0,0,0,17.67,0,0,0,60.85,0,0.98,0,0,0,0,0,15.7,0,0,0
 72-82,0,0,0,2.94,0.98,0,4.91,0,0,0,1.96,0.98,0,0,1.96,0,14.72,0,2.94,0,21.6,0,2.94,2.94,0,0.98,0,0,3.93,0,0.98,0
 84-94,0,0,1.06,2.12,0,0,9.56,0,0,0,1.06,0,0,0,0,0,45.67,0,3.19,1.06,9.56,0,2.12,0,0,0,0,0,9.56,0,0,0
 96-106,0,0,0,0,1.09,0,5.46,0,0,0,0,1.09,0,0,1.09,0,77.59,0,3.28,0,12.02,0,4.37,2.19,0,3.28,0,0,1.09,1.09,0,0
108-118,0,0,0,3.06,0,0,5.36,0.77,0,0.77,0.77,0,0,0,0,0.77,56.68,0,4.6,0,9.96,0.77,0,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,1.96,0,0,13.72,0,1.96,1.96,11.76,0,0,0,0,0,0,0,0,0,0,0
