stage,blastomeres,epidermis,eye,fast.muscle,glial,gut,immune,mucous,neural,paraxial.mesoderm,periderm
  5-6,18.39,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,3.15,6.29,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,5.75
 36-46,0,0,0,0,0,0,0,0,0.81,0,1.61
 48-58,0,0,0.57,0,0,0,0.57,0,1.15,0,0.57
 60-70,0,0.98,0.98,0,0,0,0,0,0.98,0,1.96
 72-82,0,0,0,0,0,0,0,0.98,0.98,0,0
 84-94,0,0,0,0,0,4.25,0,1.06,0,0,2.12
 96-106,0,0,0,0,0,0,0,1.09,0,0,3.28
108-118,0,0,0.77,0,1.53,0.77,0,0,0.77,0,1.53
120,0,0,0,1.96,0,1.96,0,0,0,0,3.92
