stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,1,0,0,0,0,0,2,4,0,0,1,2,1,0,2,2,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,1.64,0,0,9.85,0,0.82,0,0,0,0,0,1.64,0,0.82,0,0
 36-46,0,0.81,2.42,0.81,0,0.81,0,0,0,0,0,0,0,0,1.61,0.81,0,0,0,0,0.81,0,3.22,0,0,0,0
 48-58,0,0.57,0,0,0,1.15,0.57,0,0.57,0,0,0.57,0,0.57,6.89,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0.98,0,0,0,0.98,0,0,5.89,0,0,0,0,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,3.93,0,0,0.98,1.96,0,0,0,0,2.94,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,0,2.12,2.12,1.06,3.19,0,0,0,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,1.09,1.09,0,0,0,1.09,1.09,0,0,1.09,2.19,0,0,2.19,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,1.53,0,0.77,0,2.3,1.53,0,0.77,0,1.53,0,0,3.06,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,1.96,1.96,0,0,0,0,0,0,0,0,7.84,1.96,0,7.84,0,0,0,3.92,0,0,0,0,0,0,0,0
