stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,220.67,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,12,3,0,4,0,0,0,0,0,1,1,0,3,0,0,0,0,4,0,0,1,14,1,0,0,0,0,15,0,4,0,1,6,14,0,0,0,0
 24-34,0,0,1.64,0,8.21,0,0,9.85,0,0,0,1.64,0.82,0,2.46,0.82,8.21,0,0,0,1.64,4.1,0,0,1.64,49.25,0.82,4.1,0,0,0,27.91,0,0,0.82,0,3.28,10.67,0,0,0,0.82
 36-46,0,0,3.22,0,2.42,0,0,5.64,4.03,0,0.81,5.64,0,0,0,0,3.22,0,0.81,0,0,4.03,0.81,0,3.22,74.12,0,4.83,0.81,0,0,33.03,0,0,0.81,0,0,26.59,0,0,0,2.42
 48-58,0,0,0,0,3.44,0,0,21.23,1.72,0.57,4.59,8.61,1.15,0,0,0,4.59,0,0.57,0.57,1.72,5.74,1.15,0,1.72,77.46,1.15,0.57,0,0,0.57,20.08,0,0,0,1.72,0,17.21,0,0,0,1.72
 60-70,0,0,0,0,5.89,0,0,80.48,4.91,0.98,2.94,18.65,0,0,0,0,1.96,0.98,0.98,1.96,0,8.83,0,0,0,98.15,0,4.91,0,0,0,29.45,0,0,0.98,0,0,14.72,0,0.98,0,0.98
 72-82,0,0,4.91,0,4.91,2.94,0,102.09,0,0.98,2.94,42.21,0.98,1.96,0,0,0.98,0,4.91,0,0,38.28,1.96,0,3.93,123.69,0.98,1.96,0.98,0,2.94,43.19,0,0,0,0,0,14.72,0,0,0,0
 84-94,0,0,0,0,11.68,3.19,0,112.58,0,3.19,5.31,22.3,2.12,0,1.06,1.06,4.25,0,4.25,0,0,18.05,0,2.12,3.19,70.09,2.12,2.12,4.25,0,0,113.64,0,0,2.12,0,0,8.5,1.06,1.06,0,0
 96-106,0,0,13.11,0,19.67,1.09,1.09,108.19,2.19,2.19,3.28,50.27,4.37,0,0,2.19,6.56,0,5.46,1.09,0,39.34,5.46,1.09,2.19,81.96,1.09,6.56,5.46,0,0,120.21,0,0,1.09,1.09,0,4.37,3.28,5.46,1.09,1.09
108-118,0,0,6.13,0,32.94,0,1.53,99.58,0,5.36,3.83,36,8.43,0,0.77,1.53,9.96,1.53,2.3,2.3,2.3,52.09,1.53,0.77,1.53,94.98,1.53,6.13,7.66,0,0,106.47,0,0,0,6.89,0,9.19,4.6,5.36,1.53,1.53
120,0,0,3.92,0,43.12,1.96,0,119.55,0,9.8,5.88,50.95,11.76,0,3.92,5.88,5.88,1.96,11.76,0,0,39.2,1.96,7.84,0,101.91,1.96,5.88,3.92,0,3.92,117.59,0,0,5.88,5.88,0,5.88,1.96,3.92,0,0
