stage,epidermis,eye,glial,gut,heart,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal.cord
 14-21,1,0,0,0,0,0,0,1,1,0,0,0,1,2
 24-34,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0.81
 48-58,0,1.15,0,0,0,0,0.57,0,2.3,0.57,0,0,0,1.15
 60-70,0,0,0.98,0.98,0,0,0.98,0,0.98,0,0,0,0,0.98
 72-82,0,0.98,0.98,0,0,0,0.98,0,0.98,0,0.98,0,0,2.94
 84-94,1.06,1.06,0,0,0,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0
108-118,0,2.3,0,0,0,0,0.77,0,0.77,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0
