stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,21,2,17,0,0,0,8,1,0,1,0,0,0,0,0,0,13,0,0,9,188,2,0,0,4,0,0,11,0,1,6,52,0,0,0,0,0
 24-34,0,0,0,1.64,5.75,0,20.52,0,0,0,4.1,0,0.82,0.82,0,0,0,0.82,0.82,0.82,17.24,0,0,5.75,228.2,1.64,4.1,4.93,0,0,4.93,0,0.82,0,3.28,42.68,0,0,4.93,0,0
 36-46,0,0,0,0.81,5.64,0,39.48,1.61,0,0.81,7.25,0,0,0,0,0,0,0,0.81,0,32.23,0,0.81,7.25,176.44,0,0.81,1.61,0,0,6.45,0,0.81,0,0,28.2,0,0.81,0.81,0,0.81
 48-58,0.57,0,0,0,3.44,0,58.53,1.72,2.87,0.57,24.1,0.57,0,1.72,0.57,0,0.57,0,0,0,53.36,0.57,0.57,12.05,149.19,0,0.57,2.87,0,0.57,2.3,0,0,0,0,25.82,0,0,2.87,0,0.57
 60-70,0,0,0,0,1.96,0,74.6,0,1.96,0,24.54,1.96,0,0,0.98,0,0,0,0.98,0,61.84,0,0.98,3.93,89.32,0,0.98,0.98,0,0,7.85,0,0.98,0,0,9.82,0,0,1.96,0,0
 72-82,0,0,0.98,0,3.93,3.93,95.22,0.98,0.98,1.96,29.45,0.98,0,0.98,0.98,0,0,0,0,0,70.68,0,3.93,5.89,132.52,0,0.98,1.96,0,0,2.94,0,0,0,0,12.76,0.98,2.94,4.91,1.96,0.98
 84-94,0,0,0,0,6.37,1.06,44.61,0,1.06,3.19,10.62,3.19,0,0,0,1.06,0,0,0,0,31.86,0,2.12,4.25,36.11,0,0,2.12,0,0,11.68,0,0,0,0,6.37,0,0,2.12,0,0
 96-106,0,0,2.19,0,7.65,0,33.88,1.09,1.09,2.19,10.93,1.09,0,0,3.28,0,1.09,2.19,0,0,38.25,0,0,5.46,40.44,0,1.09,5.46,0,0,6.56,0,0,0,0,1.09,1.09,1.09,2.19,3.28,1.09
108-118,0,0,0,0,8.43,0,22.21,0,2.3,1.53,14.55,0.77,0,0.77,0,0,3.83,0.77,1.53,0.77,33.7,0,0.77,4.6,51.32,0,0.77,3.06,0,0.77,6.89,0,0.77,0,0,0,0,0,2.3,0.77,0.77
120,0,0,0,0,7.84,1.96,15.68,0,1.96,3.92,5.88,3.92,0,1.96,1.96,0,0,0,0,0,25.48,0,0,3.92,58.79,0,0,1.96,0,0,5.88,0,1.96,0,0,1.96,0,0,3.92,3.92,1.96
