stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,98,66,4,0,0,0,1,0,0,91,0,0,0,0,0
 24-34,0,0,5.75,4.1,0,0,4.93,0,0.82,0,2.46,0,0,0,0,0,0,0,0,0,2.46,0,0.82,2.46,641.91,7.39,21.34,4.93,0,0.82,0,0,0,258.57,0,0,0.82,0,0
 36-46,0,0,1.61,1.61,0,0,36.26,0.81,0,0,1.61,0,0,0.81,0,0,0,0,0,0,0.81,0.81,0,1.61,1669.35,7.25,23.36,0.81,0,2.42,0,0,0,432.64,0,0,0,0,0.81
 48-58,0,0,0.57,9.18,0.57,0,234.69,0,1.15,0,22.95,0.57,0,0.57,0.57,0,1.15,0,0,0,11.48,0,0.57,1.72,2222.35,6.89,14.92,2.3,0,3.44,0,0,1.72,412.57,0,0,2.3,0,1.15
 60-70,0,0,1.96,6.87,0,0,789.14,0,2.94,0,26.5,0.98,0.98,0,1.96,0,0.98,1.96,0,0,17.67,0,1.96,3.93,3065.29,1.96,20.61,1.96,0,3.93,0,0,1.96,455.43,0,0,0.98,0,2.94
 72-82,0,0,3.93,16.69,4.91,0,1295.79,0.98,0.98,0.98,52.03,5.89,0,0,0,0.98,2.94,1.96,0,0,67.73,0.98,2.94,3.93,2829.15,1.96,20.61,5.89,0,0.98,0,0.98,0,259.16,1.96,0.98,4.91,0,2.94
 84-94,0,0,5.31,29.74,2.12,0,808.21,1.06,2.12,0,77.53,5.31,0,0,2.12,0,2.12,3.19,0,2.12,40.36,0,4.25,3.19,1481.54,9.56,13.81,11.68,0,11.68,0,1.06,1.06,146.56,3.19,0,3.19,1.06,1.06
 96-106,1.09,0,5.46,16.39,8.74,0,676.47,0,1.09,1.09,69.94,5.46,0,1.09,4.37,0,1.09,3.28,2.19,0,31.69,0,2.19,1.09,1139.84,2.19,19.67,10.93,0,13.11,0,1.09,0,64.48,5.46,0,1.09,2.19,5.46
108-118,0,0,3.06,24.51,3.06,0.77,486.39,1.53,0.77,0,49.02,2.3,0,0,1.53,0,1.53,3.06,0,0,16.09,0,1.53,0.77,1257.71,5.36,10.72,9.96,0,5.36,0,0.77,0.77,50.55,3.83,0,3.83,2.3,0
120,0,0,0,21.56,7.84,0,491.91,3.92,3.92,3.92,74.47,3.92,0,0,1.96,0,0,3.92,0,0,13.72,0,3.92,3.92,1642.3,1.96,19.6,9.8,0,5.88,0,3.92,0,64.67,5.88,0,1.96,0,0
