stage,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0
 24-34,0,1.64,0,0.82,0,0,5.75,0,0.82,19.7,0,0.82,0,0,0.82,4.93,0,0.82,0,0
 36-46,0,1.61,0,0,0,0,0.81,0,0.81,12.89,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,3.44,0,0.57,0,0,0.57,0,0.57,9.75,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,2.94,0,1.96,0,0,1.96,0,0,29.45,0,0,0,0,0,6.87,0,0,0,0
 72-82,0,4.91,0,1.96,0,0,3.93,0,0,26.5,0,2.94,0,0,0,5.89,0,0,0.98,0
 84-94,0,2.12,0,3.19,1.06,0,4.25,0,0,4.25,0,0,0,0,0,1.06,0,1.06,0,0
 96-106,1.09,2.19,0,1.09,0,0,2.19,0,1.09,4.37,0,0,0,0,0,0,0,0,0,0
108-118,0.77,5.36,0.77,2.3,0,0,2.3,0.77,0,12.26,0.77,0,0.77,0,0,1.53,0.77,1.53,0.77,0.77
120,0,1.96,0,7.84,0,0,1.96,0,0,13.72,0,0,0,0,0,0,0,0,0,1.96
