stage,axial,blastomeres,endocrine.pancreas,eye,glial,gut,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,10.51,10.51,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0.82,0,0,0,0,0.82,0,0,0
 48-58,0,0,0,0,0,0,0,1.72,0,0,1.15
 60-70,0,0,0,0,0,0,0,1.96,0,0,0.98
 72-82,0,0,0,0,0,0,0,5.89,0,0,1.96
 84-94,0,0,0,0,0,0,0,5.31,0,0,0
 96-106,0,0,0,0,1.09,1.09,0,4.37,0,1.09,1.09
108-118,0,0,0,0,0,0,0.77,9.96,0,0,0
120,0,0,0,0,0,0,0,9.8,0,0,0
