stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,18.4,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,6.29,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,11,0,0,0,1,1,0,2,4,0,0,0
 24-34,0,0,0,0,0,0,0,9.85,0,1.64,0,0,0,0,0,0,0,1.64,10.67,0,1.64,0,0,0,0.82,0.82,3.28,0,0,0
 36-46,0,0,0,0,0.81,0,0,45.92,0,0.81,0,0,0,0,0,2.42,0,0,29.81,0,0,0,0,0.81,0,0,2.42,0,0,0
 48-58,0,0,0,0,1.72,0,0,183.04,0.57,4.02,0,0,0,0,0,1.72,0,0.57,41.89,0,2.3,0,0,0,0,0,3.44,0,0,0.57
 60-70,0,0,0,0,0,0,0,342.55,0,6.87,0,0,0,0.98,0,3.93,0.98,0,47.11,0,0.98,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0,317.08,0,13.74,0,0,0,0.98,0,3.93,0.98,0,53.01,0,2.94,0,0,0,0,0,3.93,0,0.98,0.98
 84-94,0,0,1.06,0,0,0,0,224.09,0,7.43,0,1.06,0,0,0,3.19,1.06,1.06,23.36,0,8.5,0,0,0,1.06,0,4.25,0,0,0
 96-106,0,0,0,0,1.09,0,0,143.16,0,5.46,1.09,1.09,1.09,0,1.09,1.09,0,0,17.49,0,12.02,0,0,0,0,0,0,1.09,2.19,0
108-118,0,0,0,0,0,0,0.77,98.81,0,6.13,0,0,0,0,1.53,1.53,0,0.77,18.38,0,7.66,0,1.53,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,105.83,1.96,3.92,0,0,0,0,0,1.96,0,0,21.56,0,9.8,0,0,1.96,0,0,0,0,0,0
